order_id,customer_id,product_id,origin_warehouse_id,destination_warehouse_id,order_date,quantity_units,priority,promised_delivery,status
ORD-0035,CUS-003,PRD-055,MIL-01,PAR-01,2026-08-11 10:00:00,75,STANDARD,2026-08-14 10:00:00,IN_TRANSIT
ORD-0036,CUS-019,PRD-062,MAD-01,PAR-01,2026-08-09 07:00:00,50,PREMIUM,2026-08-11 07:00:00,IN_TRANSIT
ORD-0037,CUS-023,PRD-045,MAD-01,MIL-01,2026-08-02 00:00:00,25,PREMIUM,2026-08-04 00:00:00,IN_TRANSIT
ORD-0038,CUS-015,PRD-006,MAD-01,PAR-01,2026-08-26 16:00:00,25,STANDARD,2026-08-29 16:00:00,IN_TRANSIT
ORD-0039,CUS-007,PRD-066,MAD-01,BRU-01,2026-08-14 00:00:00,100,STANDARD,2026-08-17 00:00:00,IN_TRANSIT
ORD-0040,CUS-025,PRD-025,PAR-01,MIL-01,2026-08-16 03:00:00,150,STANDARD,2026-08-19 03:00:00,IN_TRANSIT
ORD-0041,CUS-013,PRD-040,MAD-01,FRA-01,2026-08-13 06:00:00,50,STANDARD,2026-08-16 06:00:00,IN_TRANSIT
ORD-0042,CUS-029,PRD-044,FRA-01,MAD-01,2026-08-10 15:00:00,25,CRITICAL,2026-08-11 15:00:00,IN_TRANSIT
ORD-0043,CUS-022,PRD-067,BRU-01,PAR-01,2026-08-04 04:00:00,10,STANDARD,2026-08-07 04:00:00,IN_TRANSIT
ORD-0044,CUS-012,PRD-014,MIL-01,FRA-01,2026-08-21 21:00:00,75,STANDARD,2026-08-24 21:00:00,IN_TRANSIT
ORD-0045,CUS-013,PRD-055,MIL-01,PAR-01,2026-08-28 00:00:00,75,STANDARD,2026-08-31 00:00:00,IN_TRANSIT
ORD-0046,CUS-028,PRD-015,MAD-01,PAR-01,2026-08-15 22:00:00,100,PREMIUM,2026-08-17 22:00:00,IN_TRANSIT
ORD-0047,CUS-028,PRD-003,FRA-01,BRU-01,2026-08-05 23:00:00,50,PREMIUM,2026-08-07 23:00:00,IN_TRANSIT
ORD-0048,CUS-018,PRD-031,BRU-01,FRA-01,2026-08-21 12:00:00,100,PREMIUM,2026-08-23 12:00:00,IN_TRANSIT
ORD-0049,CUS-001,PRD-026,MIL-01,BRU-01,2026-08-29 18:00:00,10,CRITICAL,2026-08-30 18:00:00,IN_TRANSIT
ORD-0050,CUS-028,PRD-026,BRU-01,PAR-01,2026-08-11 04:00:00,200,PREMIUM,2026-08-13 04:00:00,IN_TRANSIT
ORD-0051,CUS-019,PRD-047,BRU-01,MAD-01,2026-08-15 20:00:00,100,PREMIUM,2026-08-17 20:00:00,IN_TRANSIT
ORD-0052,CUS-022,PRD-025,FRA-01,BRU-01,2026-08-23 22:00:00,200,STANDARD,2026-08-26 22:00:00,IN_TRANSIT
ORD-0053,CUS-021,PRD-014,BRU-01,MAD-01,2026-08-08 20:00:00,150,STANDARD,2026-08-11 20:00:00,IN_TRANSIT
ORD-0054,CUS-019,PRD-062,MIL-01,BRU-01,2026-08-23 02:00:00,25,PREMIUM,2026-08-25 02:00:00,IN_TRANSIT
ORD-0055,CUS-012,PRD-050,PAR-01,BRU-01,2026-08-14 09:00:00,200,STANDARD,2026-08-17 09:00:00,IN_TRANSIT
ORD-0056,CUS-006,PRD-008,PAR-01,FRA-01,2026-08-22 02:00:00,25,PREMIUM,2026-08-24 02:00:00,IN_TRANSIT
ORD-0057,CUS-024,PRD-056,MIL-01,BRU-01,2026-08-25 06:00:00,100,STANDARD,2026-08-28 06:00:00,IN_TRANSIT
ORD-0058,CUS-010,PRD-074,FRA-01,PAR-01,2026-08-14 21:00:00,150,STANDARD,2026-08-17 21:00:00,IN_TRANSIT
ORD-0059,CUS-021,PRD-015,PAR-01,MAD-01,2026-08-15 18:00:00,150,STANDARD,2026-08-18 18:00:00,IN_TRANSIT
ORD-0060,CUS-026,PRD-014,MIL-01,BRU-01,2026-08-10 06:00:00,100,STANDARD,2026-08-13 06:00:00,IN_TRANSIT
ORD-0061,CUS-029,PRD-031,PAR-01,MIL-01,2026-08-03 20:00:00,100,CRITICAL,2026-08-04 20:00:00,IN_TRANSIT
ORD-0062,CUS-028,PRD-009,MIL-01,PAR-01,2026-08-23 17:00:00,50,PREMIUM,2026-08-25 17:00:00,IN_TRANSIT
ORD-0063,CUS-024,PRD-014,MIL-01,PAR-01,2026-08-06 09:00:00,75,STANDARD,2026-08-09 09:00:00,IN_TRANSIT
ORD-0064,CUS-024,PRD-011,PAR-01,FRA-01,2026-08-20 19:00:00,25,STANDARD,2026-08-23 19:00:00,IN_TRANSIT
ORD-0065,CUS-023,PRD-004,MIL-01,PAR-01,2026-08-06 06:00:00,100,PREMIUM,2026-08-08 06:00:00,IN_TRANSIT
ORD-0066,CUS-027,PRD-048,MIL-01,PAR-01,2026-08-09 23:00:00,200,STANDARD,2026-08-12 23:00:00,IN_TRANSIT
ORD-0067,CUS-021,PRD-026,MAD-01,FRA-01,2026-08-14 09:00:00,50,STANDARD,2026-08-17 09:00:00,IN_TRANSIT
ORD-0068,CUS-013,PRD-055,MIL-01,FRA-01,2026-08-09 20:00:00,10,STANDARD,2026-08-12 20:00:00,IN_TRANSIT
ORD-0069,CUS-022,PRD-071,PAR-01,MAD-01,2026-08-13 13:00:00,75,STANDARD,2026-08-16 13:00:00,IN_TRANSIT
ORD-0070,CUS-003,PRD-044,FRA-01,MAD-01,2026-08-02 22:00:00,10,STANDARD,2026-08-05 22:00:00,IN_TRANSIT
ORD-0071,CUS-020,PRD-061,BRU-01,FRA-01,2026-08-21 03:00:00,75,STANDARD,2026-08-24 03:00:00,IN_TRANSIT
ORD-0072,CUS-022,PRD-016,FRA-01,MAD-01,2026-08-05 19:00:00,100,STANDARD,2026-08-08 19:00:00,IN_TRANSIT
ORD-0073,CUS-025,PRD-009,FRA-01,BRU-01,2026-08-25 05:00:00,25,STANDARD,2026-08-28 05:00:00,IN_TRANSIT
ORD-0074,CUS-016,PRD-014,MAD-01,BRU-01,2026-08-17 08:00:00,75,STANDARD,2026-08-20 08:00:00,IN_TRANSIT
ORD-0075,CUS-004,PRD-054,MAD-01,BRU-01,2026-08-09 12:00:00,10,STANDARD,2026-08-12 12:00:00,IN_TRANSIT
ORD-0076,CUS-008,PRD-006,BRU-01,MAD-01,2026-08-01 07:00:00,200,STANDARD,2026-08-04 07:00:00,IN_TRANSIT
ORD-0077,CUS-006,PRD-074,FRA-01,PAR-01,2026-08-10 01:00:00,75,PREMIUM,2026-08-12 01:00:00,IN_TRANSIT
ORD-0078,CUS-012,PRD-049,BRU-01,PAR-01,2026-08-20 23:00:00,100,STANDARD,2026-08-23 23:00:00,IN_TRANSIT
ORD-0079,CUS-026,PRD-014,PAR-01,FRA-01,2026-08-08 07:00:00,100,STANDARD,2026-08-11 07:00:00,IN_TRANSIT
ORD-0080,CUS-019,PRD-057,MIL-01,FRA-01,2026-08-29 03:00:00,150,PREMIUM,2026-08-31 03:00:00,IN_TRANSIT
ORD-0081,CUS-008,PRD-065,BRU-01,PAR-01,2026-08-19 10:00:00,200,STANDARD,2026-08-22 10:00:00,IN_TRANSIT
ORD-0082,CUS-006,PRD-053,MAD-01,PAR-01,2026-08-08 02:00:00,10,PREMIUM,2026-08-10 02:00:00,IN_TRANSIT
ORD-0083,CUS-026,PRD-043,PAR-01,MIL-01,2026-08-17 09:00:00,50,STANDARD,2026-08-20 09:00:00,IN_TRANSIT
ORD-0084,CUS-023,PRD-059,BRU-01,MAD-01,2026-08-14 19:00:00,150,PREMIUM,2026-08-16 19:00:00,IN_TRANSIT
ORD-0085,CUS-009,PRD-002,MAD-01,BRU-01,2026-08-07 01:00:00,200,PREMIUM,2026-08-09 01:00:00,IN_TRANSIT
ORD-0086,CUS-008,PRD-046,MIL-01,BRU-01,2026-08-19 15:00:00,75,STANDARD,2026-08-22 15:00:00,IN_TRANSIT
ORD-0087,CUS-016,PRD-004,MAD-01,BRU-01,2026-08-30 17:00:00,200,STANDARD,2026-09-02 17:00:00,IN_TRANSIT
ORD-0088,CUS-004,PRD-039,PAR-01,BRU-01,2026-08-16 23:00:00,10,STANDARD,2026-08-19 23:00:00,IN_TRANSIT
ORD-0089,CUS-009,PRD-052,BRU-01,FRA-01,2026-08-30 01:00:00,200,PREMIUM,2026-09-01 01:00:00,IN_TRANSIT
ORD-0090,CUS-008,PRD-011,PAR-01,MAD-01,2026-08-03 17:00:00,150,STANDARD,2026-08-06 17:00:00,IN_TRANSIT
ORD-0091,CUS-006,PRD-022,MAD-01,MIL-01,2026-08-07 16:00:00,200,PREMIUM,2026-08-09 16:00:00,IN_TRANSIT
ORD-0092,CUS-005,PRD-069,PAR-01,MIL-01,2026-08-15 02:00:00,50,STANDARD,2026-08-18 02:00:00,IN_TRANSIT
ORD-0093,CUS-029,PRD-028,PAR-01,MAD-01,2026-08-11 01:00:00,100,CRITICAL,2026-08-12 01:00:00,IN_TRANSIT
ORD-0094,CUS-004,PRD-063,FRA-01,BRU-01,2026-08-27 14:00:00,10,STANDARD,2026-08-30 14:00:00,IN_TRANSIT
ORD-0095,CUS-003,PRD-014,MIL-01,FRA-01,2026-08-12 09:00:00,25,STANDARD,2026-08-15 09:00:00,IN_TRANSIT
ORD-0096,CUS-013,PRD-071,PAR-01,MAD-01,2026-08-29 10:00:00,25,STANDARD,2026-09-01 10:00:00,IN_TRANSIT
ORD-0097,CUS-010,PRD-009,PAR-01,BRU-01,2026-08-03 00:00:00,150,STANDARD,2026-08-06 00:00:00,IN_TRANSIT
ORD-0098,CUS-022,PRD-047,MAD-01,PAR-01,2026-08-23 09:00:00,25,STANDARD,2026-08-26 09:00:00,IN_TRANSIT
ORD-0099,CUS-011,PRD-054,BRU-01,MIL-01,2026-08-22 14:00:00,200,STANDARD,2026-08-25 14:00:00,IN_TRANSIT
ORD-0100,CUS-011,PRD-032,PAR-01,BRU-01,2026-08-09 09:00:00,50,STANDARD,2026-08-12 09:00:00,IN_TRANSIT
ORD-0101,CUS-021,PRD-066,MAD-01,MIL-01,2026-08-10 14:00:00,200,STANDARD,2026-08-13 14:00:00,IN_TRANSIT
ORD-0102,CUS-021,PRD-055,FRA-01,MIL-01,2026-08-14 00:00:00,25,STANDARD,2026-08-17 00:00:00,IN_TRANSIT
ORD-0103,CUS-015,PRD-065,MAD-01,PAR-01,2026-08-06 05:00:00,25,STANDARD,2026-08-09 05:00:00,IN_TRANSIT
ORD-0104,CUS-017,PRD-069,BRU-01,PAR-01,2026-08-01 12:00:00,100,CRITICAL,2026-08-02 12:00:00,IN_TRANSIT
ORD-0105,CUS-003,PRD-037,MAD-01,PAR-01,2026-08-09 21:00:00,75,STANDARD,2026-08-12 21:00:00,IN_TRANSIT
ORD-0106,CUS-025,PRD-069,MAD-01,FRA-01,2026-08-23 23:00:00,100,STANDARD,2026-08-26 23:00:00,IN_TRANSIT
ORD-0107,CUS-028,PRD-006,FRA-01,PAR-01,2026-08-26 22:00:00,150,PREMIUM,2026-08-28 22:00:00,IN_TRANSIT
ORD-0108,CUS-007,PRD-018,PAR-01,MIL-01,2026-08-03 12:00:00,150,STANDARD,2026-08-06 12:00:00,IN_TRANSIT
ORD-0109,CUS-002,PRD-004,MAD-01,PAR-01,2026-08-14 00:00:00,10,STANDARD,2026-08-17 00:00:00,IN_TRANSIT
ORD-0110,CUS-009,PRD-008,FRA-01,MAD-01,2026-08-03 10:00:00,50,PREMIUM,2026-08-05 10:00:00,IN_TRANSIT
ORD-0111,CUS-024,PRD-071,MAD-01,BRU-01,2026-08-04 23:00:00,75,STANDARD,2026-08-07 23:00:00,IN_TRANSIT
ORD-0112,CUS-015,PRD-066,FRA-01,MIL-01,2026-08-10 09:00:00,200,STANDARD,2026-08-13 09:00:00,IN_TRANSIT
ORD-0113,CUS-008,PRD-063,FRA-01,BRU-01,2026-08-29 19:00:00,200,STANDARD,2026-09-01 19:00:00,IN_TRANSIT
ORD-0114,CUS-009,PRD-055,FRA-01,PAR-01,2026-08-18 21:00:00,75,PREMIUM,2026-08-20 21:00:00,IN_TRANSIT
ORD-0115,CUS-023,PRD-043,PAR-01,MIL-01,2026-08-26 05:00:00,10,PREMIUM,2026-08-28 05:00:00,IN_TRANSIT
ORD-0116,CUS-024,PRD-006,MIL-01,PAR-01,2026-08-23 11:00:00,50,STANDARD,2026-08-26 11:00:00,IN_TRANSIT
ORD-0117,CUS-019,PRD-030,PAR-01,MAD-01,2026-08-05 23:00:00,100,PREMIUM,2026-08-07 23:00:00,IN_TRANSIT
ORD-0118,CUS-026,PRD-028,PAR-01,MAD-01,2026-08-23 03:00:00,150,STANDARD,2026-08-26 03:00:00,IN_TRANSIT
ORD-0119,CUS-006,PRD-060,FRA-01,BRU-01,2026-08-20 00:00:00,150,PREMIUM,2026-08-22 00:00:00,IN_TRANSIT
ORD-0120,CUS-025,PRD-044,MAD-01,PAR-01,2026-08-20 21:00:00,10,STANDARD,2026-08-23 21:00:00,IN_TRANSIT
ORD-0121,CUS-021,PRD-073,BRU-01,MAD-01,2026-08-08 12:00:00,150,STANDARD,2026-08-11 12:00:00,IN_TRANSIT
ORD-0122,CUS-016,PRD-061,FRA-01,PAR-01,2026-08-11 00:00:00,75,STANDARD,2026-08-14 00:00:00,IN_TRANSIT
ORD-0123,CUS-025,PRD-043,MIL-01,FRA-01,2026-08-28 23:00:00,200,STANDARD,2026-08-31 23:00:00,IN_TRANSIT
ORD-0124,CUS-004,PRD-049,MIL-01,FRA-01,2026-08-09 16:00:00,50,STANDARD,2026-08-12 16:00:00,IN_TRANSIT
ORD-0125,CUS-003,PRD-039,PAR-01,FRA-01,2026-08-28 19:00:00,50,STANDARD,2026-08-31 19:00:00,IN_TRANSIT
ORD-0126,CUS-023,PRD-048,PAR-01,MIL-01,2026-08-29 21:00:00,200,PREMIUM,2026-08-31 21:00:00,IN_TRANSIT
ORD-0127,CUS-007,PRD-049,BRU-01,FRA-01,2026-08-16 22:00:00,25,STANDARD,2026-08-19 22:00:00,IN_TRANSIT
ORD-0128,CUS-023,PRD-009,BRU-01,PAR-01,2026-08-30 20:00:00,150,PREMIUM,2026-09-01 20:00:00,IN_TRANSIT
ORD-0129,CUS-007,PRD-034,MAD-01,MIL-01,2026-08-29 18:00:00,10,STANDARD,2026-09-01 18:00:00,IN_TRANSIT
ORD-0130,CUS-006,PRD-007,MAD-01,PAR-01,2026-08-15 06:00:00,100,PREMIUM,2026-08-17 06:00:00,IN_TRANSIT
ORD-0131,CUS-007,PRD-005,BRU-01,PAR-01,2026-08-06 18:00:00,150,STANDARD,2026-08-09 18:00:00,IN_TRANSIT
ORD-0132,CUS-003,PRD-063,BRU-01,FRA-01,2026-08-28 16:00:00,25,STANDARD,2026-08-31 16:00:00,IN_TRANSIT
ORD-0133,CUS-029,PRD-024,MAD-01,MIL-01,2026-08-18 22:00:00,25,CRITICAL,2026-08-19 22:00:00,IN_TRANSIT
ORD-0134,CUS-020,PRD-039,PAR-01,FRA-01,2026-08-18 07:00:00,25,STANDARD,2026-08-21 07:00:00,IN_TRANSIT
ORD-0135,CUS-012,PRD-020,FRA-01,PAR-01,2026-08-17 05:00:00,10,STANDARD,2026-08-20 05:00:00,IN_TRANSIT
ORD-0136,CUS-022,PRD-010,MIL-01,PAR-01,2026-08-06 20:00:00,25,STANDARD,2026-08-09 20:00:00,IN_TRANSIT
ORD-0137,CUS-021,PRD-015,MAD-01,PAR-01,2026-08-13 21:00:00,100,STANDARD,2026-08-16 21:00:00,IN_TRANSIT
ORD-0138,CUS-021,PRD-054,FRA-01,MIL-01,2026-08-25 02:00:00,50,STANDARD,2026-08-28 02:00:00,IN_TRANSIT
ORD-0139,CUS-006,PRD-036,MAD-01,BRU-01,2026-08-30 12:00:00,75,PREMIUM,2026-09-01 12:00:00,IN_TRANSIT
ORD-0140,CUS-021,PRD-066,MIL-01,MAD-01,2026-08-24 18:00:00,150,STANDARD,2026-08-27 18:00:00,IN_TRANSIT
ORD-0141,CUS-005,PRD-003,FRA-01,PAR-01,2026-08-15 19:00:00,25,STANDARD,2026-08-18 19:00:00,IN_TRANSIT
ORD-0142,CUS-030,PRD-049,MAD-01,PAR-01,2026-08-07 20:00:00,25,STANDARD,2026-08-10 20:00:00,IN_TRANSIT
ORD-0143,CUS-024,PRD-063,MIL-01,FRA-01,2026-08-29 11:00:00,50,STANDARD,2026-09-01 11:00:00,IN_TRANSIT
ORD-0144,CUS-016,PRD-075,BRU-01,PAR-01,2026-08-01 05:00:00,50,STANDARD,2026-08-04 05:00:00,IN_TRANSIT
ORD-0145,CUS-014,PRD-012,MAD-01,FRA-01,2026-08-27 19:00:00,10,STANDARD,2026-08-30 19:00:00,IN_TRANSIT
ORD-0146,CUS-016,PRD-055,PAR-01,MAD-01,2026-08-04 04:00:00,10,STANDARD,2026-08-07 04:00:00,IN_TRANSIT
ORD-0147,CUS-026,PRD-058,FRA-01,MAD-01,2026-08-21 16:00:00,10,STANDARD,2026-08-24 16:00:00,IN_TRANSIT
ORD-0148,CUS-026,PRD-052,MAD-01,MIL-01,2026-08-25 00:00:00,200,STANDARD,2026-08-28 00:00:00,IN_TRANSIT
ORD-0149,CUS-026,PRD-006,BRU-01,MAD-01,2026-08-10 14:00:00,150,STANDARD,2026-08-13 14:00:00,IN_TRANSIT
ORD-0150,CUS-014,PRD-014,FRA-01,MAD-01,2026-08-19 20:00:00,100,STANDARD,2026-08-22 20:00:00,IN_TRANSIT
ORD-0151,CUS-008,PRD-012,MIL-01,MAD-01,2026-08-23 04:00:00,10,STANDARD,2026-08-26 04:00:00,IN_TRANSIT
ORD-0152,CUS-020,PRD-006,MAD-01,FRA-01,2026-08-10 16:00:00,75,STANDARD,2026-08-13 16:00:00,IN_TRANSIT
ORD-0153,CUS-003,PRD-068,MAD-01,MIL-01,2026-08-26 00:00:00,75,STANDARD,2026-08-29 00:00:00,IN_TRANSIT
ORD-0154,CUS-028,PRD-017,MIL-01,BRU-01,2026-08-21 14:00:00,100,PREMIUM,2026-08-23 14:00:00,IN_TRANSIT
ORD-0155,CUS-021,PRD-023,BRU-01,FRA-01,2026-08-02 20:00:00,10,STANDARD,2026-08-05 20:00:00,IN_TRANSIT
ORD-0156,CUS-023,PRD-067,FRA-01,BRU-01,2026-08-05 22:00:00,50,PREMIUM,2026-08-07 22:00:00,IN_TRANSIT
ORD-0157,CUS-018,PRD-064,MIL-01,PAR-01,2026-08-11 03:00:00,50,PREMIUM,2026-08-13 03:00:00,IN_TRANSIT
ORD-0158,CUS-025,PRD-035,FRA-01,BRU-01,2026-08-23 02:00:00,50,STANDARD,2026-08-26 02:00:00,IN_TRANSIT
ORD-0159,CUS-013,PRD-023,FRA-01,BRU-01,2026-08-06 11:00:00,100,STANDARD,2026-08-09 11:00:00,IN_TRANSIT
ORD-0160,CUS-003,PRD-035,BRU-01,FRA-01,2026-08-24 18:00:00,200,STANDARD,2026-08-27 18:00:00,IN_TRANSIT
ORD-0161,CUS-004,PRD-074,MIL-01,MAD-01,2026-08-26 15:00:00,75,STANDARD,2026-08-29 15:00:00,IN_TRANSIT
ORD-0162,CUS-026,PRD-045,MIL-01,BRU-01,2026-08-14 19:00:00,75,STANDARD,2026-08-17 19:00:00,IN_TRANSIT
ORD-0163,CUS-012,PRD-057,MAD-01,MIL-01,2026-08-15 16:00:00,100,STANDARD,2026-08-18 16:00:00,IN_TRANSIT
ORD-0164,CUS-030,PRD-075,BRU-01,MAD-01,2026-08-17 14:00:00,75,STANDARD,2026-08-20 14:00:00,IN_TRANSIT
ORD-0165,CUS-027,PRD-026,MIL-01,FRA-01,2026-08-03 04:00:00,50,STANDARD,2026-08-06 04:00:00,IN_TRANSIT
ORD-0166,CUS-004,PRD-037,PAR-01,MIL-01,2026-08-02 01:00:00,25,STANDARD,2026-08-05 01:00:00,IN_TRANSIT
ORD-0167,CUS-020,PRD-069,FRA-01,MIL-01,2026-08-16 02:00:00,200,STANDARD,2026-08-19 02:00:00,IN_TRANSIT
ORD-0168,CUS-016,PRD-008,MAD-01,PAR-01,2026-08-29 13:00:00,100,STANDARD,2026-09-01 13:00:00,IN_TRANSIT
ORD-0169,CUS-028,PRD-029,MIL-01,PAR-01,2026-08-19 15:00:00,150,PREMIUM,2026-08-21 15:00:00,IN_TRANSIT
ORD-0170,CUS-018,PRD-064,FRA-01,PAR-01,2026-08-16 16:00:00,200,PREMIUM,2026-08-18 16:00:00,IN_TRANSIT
ORD-0171,CUS-006,PRD-057,MIL-01,PAR-01,2026-08-29 19:00:00,200,PREMIUM,2026-08-31 19:00:00,IN_TRANSIT
ORD-0172,CUS-015,PRD-045,PAR-01,MAD-01,2026-08-13 04:00:00,100,STANDARD,2026-08-16 04:00:00,IN_TRANSIT
ORD-0173,CUS-004,PRD-053,FRA-01,MAD-01,2026-08-30 21:00:00,150,STANDARD,2026-09-02 21:00:00,IN_TRANSIT
ORD-0174,CUS-010,PRD-034,MAD-01,MIL-01,2026-08-03 16:00:00,25,STANDARD,2026-08-06 16:00:00,IN_TRANSIT
ORD-0175,CUS-003,PRD-052,MIL-01,FRA-01,2026-08-02 12:00:00,10,STANDARD,2026-08-05 12:00:00,IN_TRANSIT
ORD-0176,CUS-030,PRD-024,FRA-01,MIL-01,2026-08-06 00:00:00,25,STANDARD,2026-08-09 00:00:00,IN_TRANSIT
ORD-0177,CUS-021,PRD-045,PAR-01,MIL-01,2026-08-01 05:00:00,100,STANDARD,2026-08-04 05:00:00,IN_TRANSIT
ORD-0178,CUS-002,PRD-053,FRA-01,BRU-01,2026-08-21 09:00:00,75,STANDARD,2026-08-24 09:00:00,IN_TRANSIT
ORD-0179,CUS-018,PRD-005,MIL-01,MAD-01,2026-08-28 14:00:00,150,PREMIUM,2026-08-30 14:00:00,IN_TRANSIT
ORD-0180,CUS-021,PRD-041,FRA-01,BRU-01,2026-08-08 01:00:00,100,STANDARD,2026-08-11 01:00:00,IN_TRANSIT
ORD-0181,CUS-019,PRD-024,PAR-01,MAD-01,2026-08-26 08:00:00,10,PREMIUM,2026-08-28 08:00:00,IN_TRANSIT
ORD-0182,CUS-001,PRD-030,MIL-01,PAR-01,2026-08-22 15:00:00,10,CRITICAL,2026-08-23 15:00:00,IN_TRANSIT
ORD-0183,CUS-002,PRD-045,FRA-01,MIL-01,2026-08-22 20:00:00,50,STANDARD,2026-08-25 20:00:00,IN_TRANSIT
ORD-0184,CUS-005,PRD-006,MAD-01,MIL-01,2026-08-07 05:00:00,100,STANDARD,2026-08-10 05:00:00,IN_TRANSIT
