inventory_id,warehouse_id,product_id,on_hand_units,allocated_units,available_units,safety_stock_units,inbound_units
INV-PAR-01-PRD-057,PAR-01,PRD-057,263,59,204,65,50
INV-PAR-01-PRD-059,PAR-01,PRD-059,21,2,19,3,250
INV-PAR-01-PRD-060,PAR-01,PRD-060,113,36,77,22,0
INV-PAR-01-PRD-061,PAR-01,PRD-061,98,33,65,19,100
INV-PAR-01-PRD-062,PAR-01,PRD-062,196,81,115,49,0
INV-PAR-01-PRD-063,PAR-01,PRD-063,170,46,124,42,0
INV-PAR-01-PRD-064,PAR-01,PRD-064,111,41,70,22,150
INV-PAR-01-PRD-065,PAR-01,PRD-065,160,26,134,40,250
INV-PAR-01-PRD-066,PAR-01,PRD-066,231,98,133,46,0
INV-PAR-01-PRD-069,PAR-01,PRD-069,146,59,87,21,250
INV-PAR-01-PRD-070,PAR-01,PRD-070,129,52,77,19,250
INV-PAR-01-PRD-071,PAR-01,PRD-071,143,51,92,28,0
INV-PAR-01-PRD-072,PAR-01,PRD-072,132,11,121,26,0
INV-PAR-01-PRD-073,PAR-01,PRD-073,69,29,40,10,0
INV-PAR-01-PRD-074,PAR-01,PRD-074,109,41,68,27,0
INV-BRU-01-PRD-002,BRU-01,PRD-002,113,14,99,16,250
INV-BRU-01-PRD-003,BRU-01,PRD-003,149,65,84,22,150
INV-BRU-01-PRD-004,BRU-01,PRD-004,230,12,218,57,0
INV-BRU-01-PRD-005,BRU-01,PRD-005,56,17,39,8,0
INV-BRU-01-PRD-007,BRU-01,PRD-007,474,133,341,165,100
INV-BRU-01-PRD-008,BRU-01,PRD-008,132,44,88,19,150
INV-BRU-01-PRD-009,BRU-01,PRD-009,215,21,194,43,0
INV-BRU-01-PRD-010,BRU-01,PRD-010,66,11,55,13,0
INV-BRU-01-PRD-011,BRU-01,PRD-011,86,37,49,12,100
INV-BRU-01-PRD-012,BRU-01,PRD-012,242,14,228,48,250
INV-BRU-01-PRD-013,BRU-01,PRD-013,79,7,72,15,100
INV-BRU-01-PRD-015,BRU-01,PRD-015,20,5,15,3,250
INV-BRU-01-PRD-016,BRU-01,PRD-016,197,46,151,39,150
INV-BRU-01-PRD-017,BRU-01,PRD-017,219,20,199,43,0
INV-BRU-01-PRD-018,BRU-01,PRD-018,100,14,86,20,150
INV-BRU-01-PRD-019,BRU-01,PRD-019,203,80,123,40,100
INV-BRU-01-PRD-020,BRU-01,PRD-020,107,21,86,21,0
INV-BRU-01-PRD-021,BRU-01,PRD-021,72,28,44,14,100
INV-BRU-01-PRD-022,BRU-01,PRD-022,89,12,77,13,0
INV-BRU-01-PRD-023,BRU-01,PRD-023,218,20,198,43,150
INV-BRU-01-PRD-025,BRU-01,PRD-025,66,25,41,9,0
INV-BRU-01-PRD-026,BRU-01,PRD-026,140,58,82,21,0
INV-BRU-01-PRD-028,BRU-01,PRD-028,165,15,150,33,0
INV-BRU-01-PRD-033,BRU-01,PRD-033,153,31,122,30,100
INV-BRU-01-PRD-034,BRU-01,PRD-034,395,158,237,98,50
INV-BRU-01-PRD-035,BRU-01,PRD-035,157,19,138,31,0
INV-BRU-01-PRD-036,BRU-01,PRD-036,95,26,69,19,0
INV-BRU-01-PRD-037,BRU-01,PRD-037,56,11,45,8,0
INV-BRU-01-PRD-038,BRU-01,PRD-038,136,52,84,20,0
INV-BRU-01-PRD-040,BRU-01,PRD-040,187,72,115,37,0
INV-BRU-01-PRD-041,BRU-01,PRD-041,97,35,62,19,250
INV-BRU-01-PRD-042,BRU-01,PRD-042,350,80,270,150,200
INV-BRU-01-PRD-044,BRU-01,PRD-044,196,77,119,49,50
INV-BRU-01-PRD-045,BRU-01,PRD-045,206,63,143,41,0
INV-BRU-01-PRD-046,BRU-01,PRD-046,118,28,90,29,0
INV-BRU-01-PRD-047,BRU-01,PRD-047,98,19,79,14,0
INV-BRU-01-PRD-048,BRU-01,PRD-048,197,39,158,39,0
INV-BRU-01-PRD-049,BRU-01,PRD-049,232,99,133,81,0
INV-BRU-01-PRD-050,BRU-01,PRD-050,131,23,108,19,50
INV-BRU-01-PRD-051,BRU-01,PRD-051,242,75,167,48,150
INV-BRU-01-PRD-052,BRU-01,PRD-052,265,80,185,66,50
INV-BRU-01-PRD-053,BRU-01,PRD-053,85,11,74,17,150
INV-BRU-01-PRD-054,BRU-01,PRD-054,150,15,135,30,250
INV-BRU-01-PRD-055,BRU-01,PRD-055,372,126,246,130,0
INV-BRU-01-PRD-057,BRU-01,PRD-057,317,137,180,79,0
INV-BRU-01-PRD-058,BRU-01,PRD-058,222,80,142,55,100
INV-BRU-01-PRD-059,BRU-01,PRD-059,141,21,120,21,250
INV-BRU-01-PRD-060,BRU-01,PRD-060,60,17,43,12,0
INV-BRU-01-PRD-062,BRU-01,PRD-062,102,24,78,25,100
INV-BRU-01-PRD-063,BRU-01,PRD-063,318,117,201,79,150
INV-BRU-01-PRD-064,BRU-01,PRD-064,97,40,57,19,100
INV-BRU-01-PRD-068,BRU-01,PRD-068,318,114,204,79,0
INV-BRU-01-PRD-069,BRU-01,PRD-069,114,46,68,17,0
INV-BRU-01-PRD-070,BRU-01,PRD-070,102,19,83,15,0
INV-BRU-01-PRD-071,BRU-01,PRD-071,112,12,100,22,0
INV-BRU-01-PRD-072,BRU-01,PRD-072,161,32,129,32,50
INV-BRU-01-PRD-073,BRU-01,PRD-073,42,17,25,6,50
INV-BRU-01-PRD-074,BRU-01,PRD-074,283,56,227,70,50
INV-BRU-01-PRD-075,BRU-01,PRD-075,20,8,12,3,150
INV-FRA-01-PRD-002,FRA-01,PRD-002,134,13,121,20,100
INV-FRA-01-PRD-003,FRA-01,PRD-003,24,1,23,3,100
INV-FRA-01-PRD-004,FRA-01,PRD-004,316,53,263,79,150
INV-FRA-01-PRD-005,FRA-01,PRD-005,61,10,51,9,50
INV-FRA-01-PRD-006,FRA-01,PRD-006,321,30,291,80,150
INV-FRA-01-PRD-007,FRA-01,PRD-007,165,26,139,57,250
INV-FRA-01-PRD-008,FRA-01,PRD-008,25,11,14,3,0
INV-FRA-01-PRD-009,FRA-01,PRD-009,77,6,71,15,100
INV-FRA-01-PRD-010,FRA-01,PRD-010,222,32,190,44,0
INV-FRA-01-PRD-012,FRA-01,PRD-012,211,87,124,42,0
INV-FRA-01-PRD-013,FRA-01,PRD-013,231,12,219,46,0
INV-FRA-01-PRD-015,FRA-01,PRD-015,147,21,126,22,150
INV-FRA-01-PRD-016,FRA-01,PRD-016,98,36,62,19,0
INV-FRA-01-PRD-017,FRA-01,PRD-017,74,24,50,14,150
INV-FRA-01-PRD-018,FRA-01,PRD-018,139,18,121,27,0
INV-FRA-01-PRD-020,FRA-01,PRD-020,157,47,110,31,150
INV-FRA-01-PRD-021,FRA-01,PRD-021,139,47,92,27,0
INV-FRA-01-PRD-022,FRA-01,PRD-022,22,7,15,3,0
INV-FRA-01-PRD-023,FRA-01,PRD-023,199,14,185,39,100
INV-FRA-01-PRD-024,FRA-01,PRD-024,50,20,30,10,0
INV-FRA-01-PRD-025,FRA-01,PRD-025,73,6,67,10,0
INV-FRA-01-PRD-026,FRA-01,PRD-026,68,15,53,10,250
INV-FRA-01-PRD-027,FRA-01,PRD-027,100,27,73,20,100
INV-FRA-01-PRD-029,FRA-01,PRD-029,339,95,244,118,0
INV-FRA-01-PRD-030,FRA-01,PRD-030,53,22,31,7,100
INV-FRA-01-PRD-032,FRA-01,PRD-032,307,73,234,76,0
INV-FRA-01-PRD-035,FRA-01,PRD-035,68,15,53,13,0
INV-FRA-01-PRD-036,FRA-01,PRD-036,130,27,103,26,100
INV-FRA-01-PRD-037,FRA-01,PRD-037,129,36,93,19,0
INV-FRA-01-PRD-038,FRA-01,PRD-038,139,30,109,20,0
INV-FRA-01-PRD-039,FRA-01,PRD-039,79,22,57,15,0
INV-FRA-01-PRD-040,FRA-01,PRD-040,167,51,116,33,100
INV-FRA-01-PRD-041,FRA-01,PRD-041,173,63,110,34,0
INV-FRA-01-PRD-042,FRA-01,PRD-042,65,40,25,50,0
INV-FRA-01-PRD-043,FRA-01,PRD-043,242,83,159,48,50
INV-FRA-01-PRD-044,FRA-01,PRD-044,138,34,104,34,250
INV-FRA-01-PRD-045,FRA-01,PRD-045,103,18,85,20,150
INV-FRA-01-PRD-046,FRA-01,PRD-046,215,20,195,53,50
INV-FRA-01-PRD-048,FRA-01,PRD-048,214,34,180,42,0
INV-FRA-01-PRD-049,FRA-01,PRD-049,320,56,264,112,0
INV-FRA-01-PRD-050,FRA-01,PRD-050,137,52,85,20,0
INV-FRA-01-PRD-051,FRA-01,PRD-051,133,14,119,26,0
INV-FRA-01-PRD-052,FRA-01,PRD-052,300,58,242,75,0
INV-FRA-01-PRD-053,FRA-01,PRD-053,65,23,42,13,250
INV-FRA-01-PRD-054,FRA-01,PRD-054,204,67,137,40,100
INV-FRA-01-PRD-055,FRA-01,PRD-055,473,25,448,165,100
INV-FRA-01-PRD-056,FRA-01,PRD-056,326,37,289,81,50
INV-FRA-01-PRD-058,FRA-01,PRD-058,376,102,274,94,250
INV-FRA-01-PRD-059,FRA-01,PRD-059,124,13,111,18,250
INV-FRA-01-PRD-060,FRA-01,PRD-060,218,17,201,43,0
INV-FRA-01-PRD-061,FRA-01,PRD-061,58,13,45,11,50
INV-FRA-01-PRD-063,FRA-01,PRD-063,173,11,162,43,250
INV-FRA-01-PRD-064,FRA-01,PRD-064,88,21,67,17,0
INV-FRA-01-PRD-065,FRA-01,PRD-065,316,26,290,79,50
INV-FRA-01-PRD-066,FRA-01,PRD-066,218,66,152,43,150
INV-FRA-01-PRD-067,FRA-01,PRD-067,292,103,189,102,100
INV-FRA-01-PRD-069,FRA-01,PRD-069,116,21,95,17,50
INV-FRA-01-PRD-070,FRA-01,PRD-070,63,22,41,9,50
INV-FRA-01-PRD-071,FRA-01,PRD-071,123,50,73,24,50
INV-FRA-01-PRD-072,FRA-01,PRD-072,74,13,61,14,150
INV-FRA-01-PRD-073,FRA-01,PRD-073,130,11,119,19,50
INV-FRA-01-PRD-074,FRA-01,PRD-074,399,120,279,99,250
INV-MIL-01-PRD-001,MIL-01,PRD-001,113,6,107,22,0
INV-MIL-01-PRD-002,MIL-01,PRD-002,109,18,91,16,50
INV-MIL-01-PRD-003,MIL-01,PRD-003,93,14,79,13,0
INV-MIL-01-PRD-004,MIL-01,PRD-004,257,113,144,64,100
INV-MIL-01-PRD-005,MIL-01,PRD-005,134,47,87,20,50
INV-MIL-01-PRD-006,MIL-01,PRD-006,254,110,144,63,150
INV-MIL-01-PRD-007,MIL-01,PRD-007,311,29,282,108,250
INV-MIL-01-PRD-008,MIL-01,PRD-008,125,33,92,18,50
INV-MIL-01-PRD-009,MIL-01,PRD-009,133,59,74,26,250
INV-MIL-01-PRD-010,MIL-01,PRD-010,214,74,140,42,150
INV-MIL-01-PRD-011,MIL-01,PRD-011,20,1,19,3,0
INV-MIL-01-PRD-012,MIL-01,PRD-012,242,107,135,48,50
INV-MIL-01-PRD-013,MIL-01,PRD-013,115,24,91,23,250
INV-MIL-01-PRD-014,MIL-01,PRD-014,179,48,131,35,0
INV-MIL-01-PRD-015,MIL-01,PRD-015,54,20,34,8,250
INV-MIL-01-PRD-017,MIL-01,PRD-017,240,22,218,48,0
INV-MIL-01-PRD-018,MIL-01,PRD-018,202,72,130,40,100
INV-MIL-01-PRD-019,MIL-01,PRD-019,197,72,125,39,150
INV-MIL-01-PRD-021,MIL-01,PRD-021,70,27,43,14,100
INV-MIL-01-PRD-023,MIL-01,PRD-023,102,6,96,20,100
INV-MIL-01-PRD-024,MIL-01,PRD-024,189,60,129,37,250
INV-MIL-01-PRD-025,MIL-01,PRD-025,73,13,60,10,150
INV-MIL-01-PRD-026,MIL-01,PRD-026,137,39,98,20,0
INV-MIL-01-PRD-027,MIL-01,PRD-027,72,29,43,14,0
INV-MIL-01-PRD-028,MIL-01,PRD-028,185,34,151,37,0
INV-MIL-01-PRD-029,MIL-01,PRD-029,298,133,165,104,150
INV-MIL-01-PRD-030,MIL-01,PRD-030,120,12,108,18,0
INV-MIL-01-PRD-031,MIL-01,PRD-031,87,28,59,17,250
INV-MIL-01-PRD-032,MIL-01,PRD-032,118,49,69,29,0
INV-MIL-01-PRD-033,MIL-01,PRD-033,118,23,95,23,0
INV-MIL-01-PRD-035,MIL-01,PRD-035,160,37,123,32,0
INV-MIL-01-PRD-036,MIL-01,PRD-036,226,49,177,45,0
INV-MIL-01-PRD-037,MIL-01,PRD-037,145,38,107,21,150
INV-MIL-01-PRD-038,MIL-01,PRD-038,65,9,56,9,250
INV-MIL-01-PRD-039,MIL-01,PRD-039,228,59,169,45,250
INV-MIL-01-PRD-040,MIL-01,PRD-040,93,28,65,18,100
INV-MIL-01-PRD-041,MIL-01,PRD-041,220,39,181,44,0
INV-MIL-01-PRD-043,MIL-01,PRD-043,50,13,37,10,0
INV-MIL-01-PRD-044,MIL-01,PRD-044,275,61,214,68,150
INV-MIL-01-PRD-045,MIL-01,PRD-045,239,76,163,47,250
INV-MIL-01-PRD-046,MIL-01,PRD-046,301,109,192,75,250
INV-MIL-01-PRD-047,MIL-01,PRD-047,42,3,39,6,50
INV-MIL-01-PRD-048,MIL-01,PRD-048,113,28,85,22,250
INV-MIL-01-PRD-049,MIL-01,PRD-049,198,85,113,69,0
INV-MIL-01-PRD-052,MIL-01,PRD-052,271,62,209,67,0
INV-MIL-01-PRD-053,MIL-01,PRD-053,208,14,194,41,0
INV-MIL-01-PRD-055,MIL-01,PRD-055,422,138,284,147,0
INV-MIL-01-PRD-056,MIL-01,PRD-056,393,81,312,98,0
INV-MIL-01-PRD-057,MIL-01,PRD-057,145,13,132,36,0
INV-MIL-01-PRD-058,MIL-01,PRD-058,148,37,111,37,0
INV-MIL-01-PRD-059,MIL-01,PRD-059,23,5,18,3,0
INV-MIL-01-PRD-060,MIL-01,PRD-060,143,22,121,28,150
INV-MIL-01-PRD-061,MIL-01,PRD-061,169,40,129,33,0
INV-MIL-01-PRD-062,MIL-01,PRD-062,200,36,164,50,0
INV-MIL-01-PRD-063,MIL-01,PRD-063,244,57,187,61,0
INV-MIL-01-PRD-064,MIL-01,PRD-064,88,6,82,17,0
INV-MIL-01-PRD-066,MIL-01,PRD-066,67,8,59,13,0
INV-MIL-01-PRD-069,MIL-01,PRD-069,81,22,59,12,0
INV-MIL-01-PRD-070,MIL-01,PRD-070,109,5,104,16,150
INV-MIL-01-PRD-071,MIL-01,PRD-071,156,17,139,31,100
INV-MIL-01-PRD-072,MIL-01,PRD-072,249,37,212,49,150
INV-MIL-01-PRD-073,MIL-01,PRD-073,92,26,66,13,50
INV-MIL-01-PRD-074,MIL-01,PRD-074,123,46,77,30,0
INV-MIL-01-PRD-075,MIL-01,PRD-075,91,26,65,13,150
INV-MAD-01-PRD-001,MAD-01,PRD-001,153,27,126,30,0
INV-MAD-01-PRD-004,MAD-01,PRD-004,215,24,191,53,0
INV-MAD-01-PRD-005,MAD-01,PRD-005,129,44,85,19,100
INV-MAD-01-PRD-006,MAD-01,PRD-006,137,39,98,34,250
INV-MAD-01-PRD-009,MAD-01,PRD-009,62,15,47,12,0
INV-MAD-01-PRD-010,MAD-01,PRD-010,102,5,97,20,0
INV-MAD-01-PRD-011,MAD-01,PRD-011,95,9,86,14,100
INV-MAD-01-PRD-012,MAD-01,PRD-012,68,17,51,13,250
INV-MAD-01-PRD-013,MAD-01,PRD-013,86,6,80,17,0
INV-MAD-01-PRD-014,MAD-01,PRD-014,76,23,53,15,0
INV-MAD-01-PRD-015,MAD-01,PRD-015,44,12,32,6,0
INV-MAD-01-PRD-016,MAD-01,PRD-016,219,33,186,43,250
INV-MAD-01-PRD-017,MAD-01,PRD-017,87,18,69,17,50
INV-MAD-01-PRD-018,MAD-01,PRD-018,156,43,113,31,150
INV-MAD-01-PRD-019,MAD-01,PRD-019,193,42,151,38,250
INV-MAD-01-PRD-020,MAD-01,PRD-020,238,87,151,47,0
INV-MAD-01-PRD-021,MAD-01,PRD-021,135,11,124,27,0
INV-MAD-01-PRD-022,MAD-01,PRD-022,105,33,72,15,0
INV-MAD-01-PRD-024,MAD-01,PRD-024,103,13,90,20,0
INV-MAD-01-PRD-025,MAD-01,PRD-025,147,19,128,22,250
INV-MAD-01-PRD-026,MAD-01,PRD-026,134,53,81,20,150
INV-MAD-01-PRD-027,MAD-01,PRD-027,132,45,87,26,50
INV-MAD-01-PRD-028,MAD-01,PRD-028,156,43,113,31,150
INV-MAD-01-PRD-030,MAD-01,PRD-030,110,40,70,16,250
INV-MAD-01-PRD-032,MAD-01,PRD-032,229,13,216,57,150
INV-MAD-01-PRD-033,MAD-01,PRD-033,247,83,164,49,0
INV-MAD-01-PRD-034,MAD-01,PRD-034,288,51,237,72,0
INV-MAD-01-PRD-035,MAD-01,PRD-035,164,35,129,32,100
INV-MAD-01-PRD-036,MAD-01,PRD-036,165,39,126,33,250
INV-MAD-01-PRD-037,MAD-01,PRD-037,63,13,50,9,0
INV-MAD-01-PRD-040,MAD-01,PRD-040,59,25,34,11,0
INV-MAD-01-PRD-041,MAD-01,PRD-041,89,31,58,17,0
INV-MAD-01-PRD-042,MAD-01,PRD-042,270,35,235,94,0
INV-MAD-01-PRD-043,MAD-01,PRD-043,145,34,111,29,50
INV-MAD-01-PRD-044,MAD-01,PRD-044,138,33,105,34,0
INV-MAD-01-PRD-045,MAD-01,PRD-045,98,24,74,19,100
INV-MAD-01-PRD-047,MAD-01,PRD-047,37,13,24,5,0
INV-MAD-01-PRD-048,MAD-01,PRD-048,204,90,114,40,250
INV-MAD-01-PRD-049,MAD-01,PRD-049,274,21,253,95,250
INV-MAD-01-PRD-051,MAD-01,PRD-051,94,8,86,18,50
INV-MAD-01-PRD-052,MAD-01,PRD-052,322,85,237,80,100
INV-MAD-01-PRD-054,MAD-01,PRD-054,140,54,86,28,0
INV-MAD-01-PRD-055,MAD-01,PRD-055,333,56,277,116,150
INV-MAD-01-PRD-056,MAD-01,PRD-056,350,123,227,87,0
INV-MAD-01-PRD-057,MAD-01,PRD-057,112,47,65,28,0
INV-MAD-01-PRD-059,MAD-01,PRD-059,114,17,97,17,0
INV-MAD-01-PRD-060,MAD-01,PRD-060,173,37,136,34,0
INV-MAD-01-PRD-061,MAD-01,PRD-061,87,29,58,17,0
INV-MAD-01-PRD-062,MAD-01,PRD-062,272,50,222,68,250
INV-MAD-01-PRD-063,MAD-01,PRD-063,315,46,269,78,0
INV-MAD-01-PRD-065,MAD-01,PRD-065,122,44,78,30,250
INV-MAD-01-PRD-066,MAD-01,PRD-066,106,27,79,21,50
INV-MAD-01-PRD-067,MAD-01,PRD-067,438,44,394,153,50
INV-MAD-01-PRD-069,MAD-01,PRD-069,31,13,18,4,50
INV-MAD-01-PRD-071,MAD-01,PRD-071,241,36,205,48,0
INV-MAD-01-PRD-074,MAD-01,PRD-074,100,29,71,25,0
INV-MAD-01-PRD-075,MAD-01,PRD-075,146,38,108,21,0
