shipment_id,order_id,carrier_id,route_id,origin_warehouse_id,destination_warehouse_id,departure_time,original_eta,current_eta,shipment_status,quantity_units,transport_cost_eur
SHP-0029,ORD-0029,CAR-001,R-006,FRA-01,BRU-01,2026-08-16 04:00:00,2026-08-16 08:48:00,2026-08-16 08:48:00,IN_TRANSIT,75,351.75
SHP-0030,ORD-0030,CAR-004,R-001,PAR-01,BRU-01,2026-08-08 08:00:00,2026-08-08 11:48:00,2026-08-08 11:48:00,IN_TRANSIT,10,374.22
SHP-0031,ORD-0031,CAR-005,R-008,FRA-01,MIL-01,2026-08-20 15:00:00,2026-08-20 22:24:00,2026-08-20 22:24:00,IN_TRANSIT,75,594.78
SHP-0032,ORD-0032,CAR-002,R-001,MAD-01,FRA-01,2026-08-03 09:00:00,2026-08-03 12:48:00,2026-08-03 12:48:00,IN_TRANSIT,150,360.86
SHP-0033,ORD-0033,CAR-004,R-008,FRA-01,MIL-01,2026-08-17 23:00:00,2026-08-18 06:24:00,2026-08-18 06:24:00,IN_TRANSIT,75,724.08
SHP-0034,ORD-0034,CAR-006,R-004,PAR-01,MIL-01,2026-08-24 20:00:00,2026-08-24 23:48:00,2026-08-24 23:48:00,IN_TRANSIT,50,240.57
SHP-0035,ORD-0035,CAR-001,R-003,MIL-01,PAR-01,2026-08-11 10:00:00,2026-08-12 00:54:00,2026-08-12 00:54:00,IN_TRANSIT,75,1093.16
SHP-0036,ORD-0036,CAR-005,R-012,MAD-01,PAR-01,2026-08-09 07:00:00,2026-08-09 21:54:00,2026-08-09 21:54:00,IN_TRANSIT,50,1197.26
SHP-0037,ORD-0037,CAR-005,R-011,MAD-01,MIL-01,2026-08-02 00:00:00,2026-08-02 16:00:00,2026-08-02 16:00:00,IN_TRANSIT,25,1285.24
SHP-0038,ORD-0038,CAR-003,R-012,MAD-01,PAR-01,2026-08-26 16:00:00,2026-08-27 06:54:00,2026-08-27 06:54:00,IN_TRANSIT,25,989.04
SHP-0039,ORD-0039,CAR-006,R-005,MAD-01,BRU-01,2026-08-14 00:00:00,2026-08-14 04:48:00,2026-08-14 04:48:00,IN_TRANSIT,100,301.5
SHP-0040,ORD-0040,CAR-004,R-005,PAR-01,MIL-01,2026-08-16 03:00:00,2026-08-16 07:48:00,2026-08-16 07:48:00,IN_TRANSIT,150,469.0
SHP-0041,ORD-0041,CAR-003,R-002,MAD-01,FRA-01,2026-08-13 06:00:00,2026-08-13 13:06:00,2026-08-13 13:06:00,IN_TRANSIT,50,469.96
SHP-0042,ORD-0042,CAR-005,R-004,FRA-01,MAD-01,2026-08-10 15:00:00,2026-08-10 18:48:00,2026-08-10 18:48:00,IN_TRANSIT,25,307.4
SHP-0043,ORD-0043,CAR-002,R-004,BRU-01,PAR-01,2026-08-04 04:00:00,2026-08-04 07:48:00,2026-08-04 07:48:00,IN_TRANSIT,10,360.86
SHP-0044,ORD-0044,CAR-003,R-009,MIL-01,FRA-01,2026-08-21 21:00:00,2026-08-22 04:24:00,2026-08-22 04:24:00,IN_TRANSIT,75,491.34
SHP-0045,ORD-0045,CAR-002,R-009,MIL-01,PAR-01,2026-08-28 00:00:00,2026-08-28 07:24:00,2026-08-28 07:24:00,IN_TRANSIT,75,698.22
SHP-0046,ORD-0046,CAR-005,R-012,MAD-01,PAR-01,2026-08-15 22:00:00,2026-08-16 12:54:00,2026-08-16 12:54:00,IN_TRANSIT,100,1197.26
SHP-0047,ORD-0047,CAR-006,R-006,FRA-01,BRU-01,2026-08-05 23:00:00,2026-08-06 03:48:00,2026-08-06 03:48:00,IN_TRANSIT,50,301.5
SHP-0048,ORD-0048,CAR-004,R-005,BRU-01,FRA-01,2026-08-21 12:00:00,2026-08-21 16:48:00,2026-08-21 16:48:00,IN_TRANSIT,100,469.0
SHP-0049,ORD-0049,CAR-003,R-004,MIL-01,BRU-01,2026-08-29 18:00:00,2026-08-29 21:48:00,2026-08-29 21:48:00,IN_TRANSIT,10,253.94
SHP-0050,ORD-0050,CAR-006,R-004,BRU-01,PAR-01,2026-08-11 04:00:00,2026-08-11 07:48:00,2026-08-11 07:48:00,IN_TRANSIT,200,240.57
SHP-0051,ORD-0051,CAR-003,R-004,BRU-01,MAD-01,2026-08-15 20:00:00,2026-08-15 23:48:00,2026-08-15 23:48:00,IN_TRANSIT,100,253.94
SHP-0052,ORD-0052,CAR-001,R-006,FRA-01,BRU-01,2026-08-23 22:00:00,2026-08-24 02:48:00,2026-08-24 02:48:00,IN_TRANSIT,200,351.75
SHP-0053,ORD-0053,CAR-006,R-001,BRU-01,MAD-01,2026-08-08 20:00:00,2026-08-08 23:48:00,2026-08-08 23:48:00,IN_TRANSIT,150,240.57
SHP-0054,ORD-0054,CAR-004,R-009,MIL-01,BRU-01,2026-08-23 02:00:00,2026-08-23 09:24:00,2026-08-23 09:24:00,IN_TRANSIT,25,724.08
SHP-0055,ORD-0055,CAR-006,R-001,PAR-01,BRU-01,2026-08-14 09:00:00,2026-08-14 12:48:00,2026-08-14 12:48:00,IN_TRANSIT,200,240.57
SHP-0056,ORD-0056,CAR-003,R-002,PAR-01,FRA-01,2026-08-22 02:00:00,2026-08-22 09:06:00,2026-08-22 09:06:00,IN_TRANSIT,25,469.96
SHP-0057,ORD-0057,CAR-005,R-006,MIL-01,BRU-01,2026-08-25 06:00:00,2026-08-25 10:48:00,2026-08-25 10:48:00,IN_TRANSIT,100,385.25
SHP-0058,ORD-0058,CAR-004,R-007,FRA-01,PAR-01,2026-08-14 21:00:00,2026-08-15 04:06:00,2026-08-15 04:06:00,IN_TRANSIT,150,692.58
SHP-0059,ORD-0059,CAR-004,R-003,PAR-01,MAD-01,2026-08-15 18:00:00,2026-08-16 08:54:00,2026-08-16 08:54:00,IN_TRANSIT,150,1457.54
SHP-0060,ORD-0060,CAR-005,R-007,MIL-01,BRU-01,2026-08-10 06:00:00,2026-08-10 13:06:00,2026-08-10 13:06:00,IN_TRANSIT,100,568.9
SHP-0061,ORD-0061,CAR-002,R-003,PAR-01,MIL-01,2026-08-03 20:00:00,2026-08-04 10:54:00,2026-08-04 10:54:00,IN_TRANSIT,100,1405.48
SHP-0062,ORD-0062,CAR-006,R-004,MIL-01,PAR-01,2026-08-23 17:00:00,2026-08-23 20:48:00,2026-08-23 20:48:00,IN_TRANSIT,50,240.57
SHP-0063,ORD-0063,CAR-005,R-004,MIL-01,PAR-01,2026-08-06 09:00:00,2026-08-06 12:48:00,2026-08-06 12:48:00,IN_TRANSIT,75,307.4
SHP-0064,ORD-0064,CAR-006,R-002,PAR-01,FRA-01,2026-08-20 19:00:00,2026-08-21 02:06:00,2026-08-21 02:06:00,IN_TRANSIT,25,445.23
SHP-0065,ORD-0065,CAR-002,R-004,MIL-01,PAR-01,2026-08-06 06:00:00,2026-08-06 09:48:00,2026-08-06 09:48:00,IN_TRANSIT,100,360.86
SHP-0066,ORD-0066,CAR-004,R-012,MIL-01,PAR-01,2026-08-09 23:00:00,2026-08-10 13:54:00,2026-08-10 13:54:00,IN_TRANSIT,200,1457.54
SHP-0067,ORD-0067,CAR-006,R-009,MAD-01,FRA-01,2026-08-14 09:00:00,2026-08-14 16:24:00,2026-08-14 16:24:00,IN_TRANSIT,50,465.48
SHP-0068,ORD-0068,CAR-005,R-009,MIL-01,FRA-01,2026-08-09 20:00:00,2026-08-10 03:24:00,2026-08-10 03:24:00,IN_TRANSIT,10,594.78
SHP-0069,ORD-0069,CAR-004,R-003,PAR-01,MAD-01,2026-08-13 13:00:00,2026-08-14 03:54:00,2026-08-14 03:54:00,IN_TRANSIT,75,1457.54
SHP-0070,ORD-0070,CAR-005,R-004,FRA-01,MAD-01,2026-08-02 22:00:00,2026-08-03 01:48:00,2026-08-03 01:48:00,IN_TRANSIT,10,307.4
SHP-0071,ORD-0071,CAR-005,R-005,BRU-01,FRA-01,2026-08-21 03:00:00,2026-08-21 07:48:00,2026-08-21 07:48:00,IN_TRANSIT,75,385.25
SHP-0072,ORD-0072,CAR-001,R-010,FRA-01,MAD-01,2026-08-05 19:00:00,2026-08-06 11:00:00,2026-08-06 11:00:00,IN_TRANSIT,100,1173.48
SHP-0073,ORD-0073,CAR-002,R-006,FRA-01,BRU-01,2026-08-25 05:00:00,2026-08-25 09:48:00,2026-08-25 09:48:00,IN_TRANSIT,25,452.25
SHP-0074,ORD-0074,CAR-004,R-012,MAD-01,BRU-01,2026-08-17 08:00:00,2026-08-17 22:54:00,2026-08-17 22:54:00,IN_TRANSIT,75,1457.54
SHP-0075,ORD-0075,CAR-006,R-005,MAD-01,BRU-01,2026-08-09 12:00:00,2026-08-09 16:48:00,2026-08-09 16:48:00,IN_TRANSIT,10,301.5
SHP-0076,ORD-0076,CAR-005,R-004,BRU-01,MAD-01,2026-08-01 07:00:00,2026-08-01 10:48:00,2026-08-01 10:48:00,IN_TRANSIT,200,307.4
SHP-0077,ORD-0077,CAR-003,R-007,FRA-01,PAR-01,2026-08-10 01:00:00,2026-08-10 08:06:00,2026-08-10 08:06:00,IN_TRANSIT,75,469.96
SHP-0078,ORD-0078,CAR-005,R-004,BRU-01,PAR-01,2026-08-20 23:00:00,2026-08-21 02:48:00,2026-08-21 02:48:00,IN_TRANSIT,100,307.4
SHP-0079,ORD-0079,CAR-004,R-002,PAR-01,FRA-01,2026-08-08 07:00:00,2026-08-08 14:06:00,2026-08-08 14:06:00,IN_TRANSIT,100,692.58
SHP-0080,ORD-0080,CAR-004,R-009,MIL-01,FRA-01,2026-08-29 03:00:00,2026-08-29 10:24:00,2026-08-29 10:24:00,IN_TRANSIT,150,724.08
SHP-0081,ORD-0081,CAR-003,R-004,BRU-01,PAR-01,2026-08-19 10:00:00,2026-08-19 13:48:00,2026-08-19 13:48:00,IN_TRANSIT,200,253.94
SHP-0082,ORD-0082,CAR-003,R-012,MAD-01,PAR-01,2026-08-08 02:00:00,2026-08-08 16:54:00,2026-08-08 16:54:00,IN_TRANSIT,10,989.04
SHP-0083,ORD-0083,CAR-003,R-006,PAR-01,MIL-01,2026-08-17 09:00:00,2026-08-17 13:48:00,2026-08-17 13:48:00,IN_TRANSIT,50,318.25
SHP-0084,ORD-0084,CAR-005,R-009,BRU-01,MAD-01,2026-08-14 19:00:00,2026-08-15 02:24:00,2026-08-15 02:24:00,IN_TRANSIT,150,594.78
SHP-0085,ORD-0085,CAR-006,R-001,MAD-01,BRU-01,2026-08-07 01:00:00,2026-08-07 04:48:00,2026-08-07 04:48:00,IN_TRANSIT,200,240.57
SHP-0086,ORD-0086,CAR-004,R-001,MIL-01,BRU-01,2026-08-19 15:00:00,2026-08-19 18:48:00,2026-08-19 18:48:00,IN_TRANSIT,75,374.22
SHP-0087,ORD-0087,CAR-001,R-012,MAD-01,BRU-01,2026-08-30 17:00:00,2026-08-31 07:54:00,2026-08-31 07:54:00,IN_TRANSIT,200,1093.16
SHP-0088,ORD-0088,CAR-005,R-001,PAR-01,BRU-01,2026-08-16 23:00:00,2026-08-17 02:48:00,2026-08-17 02:48:00,IN_TRANSIT,10,307.4
SHP-0089,ORD-0089,CAR-002,R-005,BRU-01,FRA-01,2026-08-30 01:00:00,2026-08-30 05:48:00,2026-08-30 05:48:00,IN_TRANSIT,200,452.25
SHP-0090,ORD-0090,CAR-006,R-003,PAR-01,MAD-01,2026-08-03 17:00:00,2026-08-04 07:54:00,2026-08-04 07:54:00,IN_TRANSIT,150,936.99
SHP-0091,ORD-0091,CAR-005,R-011,MAD-01,MIL-01,2026-08-07 16:00:00,2026-08-08 08:00:00,2026-08-08 08:00:00,IN_TRANSIT,200,1285.24
SHP-0092,ORD-0092,CAR-002,R-001,PAR-01,MIL-01,2026-08-15 02:00:00,2026-08-15 05:48:00,2026-08-15 05:48:00,IN_TRANSIT,50,360.86
SHP-0093,ORD-0093,CAR-005,R-003,PAR-01,MAD-01,2026-08-11 01:00:00,2026-08-11 15:54:00,2026-08-11 15:54:00,IN_TRANSIT,100,1197.26
SHP-0094,ORD-0094,CAR-002,R-006,FRA-01,BRU-01,2026-08-27 14:00:00,2026-08-27 18:48:00,2026-08-27 18:48:00,IN_TRANSIT,10,452.25
SHP-0095,ORD-0095,CAR-004,R-009,MIL-01,FRA-01,2026-08-12 09:00:00,2026-08-12 16:24:00,2026-08-12 16:24:00,IN_TRANSIT,25,724.08
SHP-0096,ORD-0096,CAR-006,R-003,PAR-01,MAD-01,2026-08-29 10:00:00,2026-08-30 00:54:00,2026-08-30 00:54:00,IN_TRANSIT,25,936.99
SHP-0097,ORD-0097,CAR-005,R-001,PAR-01,BRU-01,2026-08-03 00:00:00,2026-08-03 03:48:00,2026-08-03 03:48:00,IN_TRANSIT,150,307.4
SHP-0098,ORD-0098,CAR-006,R-012,MAD-01,PAR-01,2026-08-23 09:00:00,2026-08-23 23:54:00,2026-08-23 23:54:00,IN_TRANSIT,25,936.99
SHP-0099,ORD-0099,CAR-006,R-012,BRU-01,MIL-01,2026-08-22 14:00:00,2026-08-23 04:54:00,2026-08-23 04:54:00,IN_TRANSIT,200,936.99
SHP-0100,ORD-0100,CAR-003,R-001,PAR-01,BRU-01,2026-08-09 09:00:00,2026-08-09 12:48:00,2026-08-09 12:48:00,IN_TRANSIT,50,253.94
SHP-0101,ORD-0101,CAR-004,R-011,MAD-01,MIL-01,2026-08-10 14:00:00,2026-08-11 06:00:00,2026-08-11 06:00:00,IN_TRANSIT,200,1564.64
SHP-0102,ORD-0102,CAR-004,R-008,FRA-01,MIL-01,2026-08-14 00:00:00,2026-08-14 07:24:00,2026-08-14 07:24:00,IN_TRANSIT,25,724.08
SHP-0103,ORD-0103,CAR-003,R-012,MAD-01,PAR-01,2026-08-06 05:00:00,2026-08-06 19:54:00,2026-08-06 19:54:00,IN_TRANSIT,25,989.04
SHP-0104,ORD-0104,CAR-001,R-004,BRU-01,PAR-01,2026-08-01 12:00:00,2026-08-01 15:48:00,2026-08-01 15:48:00,IN_TRANSIT,100,280.67
SHP-0105,ORD-0105,CAR-001,R-012,MAD-01,PAR-01,2026-08-09 21:00:00,2026-08-10 11:54:00,2026-08-10 11:54:00,IN_TRANSIT,75,1093.16
SHP-0106,ORD-0106,CAR-003,R-008,MAD-01,FRA-01,2026-08-23 23:00:00,2026-08-24 06:24:00,2026-08-24 06:24:00,IN_TRANSIT,100,491.34
SHP-0107,ORD-0107,CAR-001,R-007,FRA-01,PAR-01,2026-08-26 22:00:00,2026-08-27 05:06:00,2026-08-27 05:06:00,IN_TRANSIT,150,519.44
SHP-0108,ORD-0108,CAR-006,R-004,PAR-01,MIL-01,2026-08-03 12:00:00,2026-08-03 15:48:00,2026-08-03 15:48:00,IN_TRANSIT,150,240.57
SHP-0109,ORD-0109,CAR-006,R-012,MAD-01,PAR-01,2026-08-14 00:00:00,2026-08-14 14:54:00,2026-08-14 14:54:00,IN_TRANSIT,10,936.99
SHP-0110,ORD-0110,CAR-002,R-010,FRA-01,MAD-01,2026-08-03 10:00:00,2026-08-04 02:00:00,2026-08-04 02:00:00,IN_TRANSIT,50,1508.76
SHP-0111,ORD-0111,CAR-004,R-005,MAD-01,BRU-01,2026-08-04 23:00:00,2026-08-05 03:48:00,2026-08-05 03:48:00,IN_TRANSIT,75,469.0
SHP-0112,ORD-0112,CAR-004,R-008,FRA-01,MIL-01,2026-08-10 09:00:00,2026-08-10 16:24:00,2026-08-10 16:24:00,IN_TRANSIT,200,724.08
SHP-0113,ORD-0113,CAR-003,R-006,FRA-01,BRU-01,2026-08-29 19:00:00,2026-08-29 23:48:00,2026-08-29 23:48:00,IN_TRANSIT,200,318.25
SHP-0114,ORD-0114,CAR-005,R-007,FRA-01,PAR-01,2026-08-18 21:00:00,2026-08-19 04:06:00,2026-08-19 04:06:00,IN_TRANSIT,75,568.9
SHP-0115,ORD-0115,CAR-005,R-012,PAR-01,MIL-01,2026-08-26 05:00:00,2026-08-26 19:54:00,2026-08-26 19:54:00,IN_TRANSIT,10,1197.26
SHP-0116,ORD-0116,CAR-001,R-011,MIL-01,PAR-01,2026-08-23 11:00:00,2026-08-24 03:00:00,2026-08-24 03:00:00,IN_TRANSIT,50,1173.48
SHP-0117,ORD-0117,CAR-005,R-003,PAR-01,MAD-01,2026-08-05 23:00:00,2026-08-06 13:54:00,2026-08-06 13:54:00,IN_TRANSIT,100,1197.26
SHP-0118,ORD-0118,CAR-006,R-003,PAR-01,MAD-01,2026-08-23 03:00:00,2026-08-23 17:54:00,2026-08-23 17:54:00,IN_TRANSIT,150,936.99
SHP-0119,ORD-0119,CAR-001,R-006,FRA-01,BRU-01,2026-08-20 00:00:00,2026-08-20 04:48:00,2026-08-20 04:48:00,IN_TRANSIT,150,351.75
SHP-0120,ORD-0120,CAR-002,R-012,MAD-01,PAR-01,2026-08-20 21:00:00,2026-08-21 11:54:00,2026-08-21 11:54:00,IN_TRANSIT,10,1405.48
SHP-0121,ORD-0121,CAR-003,R-010,BRU-01,MAD-01,2026-08-08 12:00:00,2026-08-09 04:00:00,2026-08-09 04:00:00,IN_TRANSIT,150,1061.72
SHP-0122,ORD-0122,CAR-004,R-007,FRA-01,PAR-01,2026-08-11 00:00:00,2026-08-11 07:06:00,2026-08-11 07:06:00,IN_TRANSIT,75,692.58
SHP-0123,ORD-0123,CAR-001,R-009,MIL-01,FRA-01,2026-08-28 23:00:00,2026-08-29 06:24:00,2026-08-29 06:24:00,IN_TRANSIT,200,543.06
SHP-0124,ORD-0124,CAR-006,R-009,MIL-01,FRA-01,2026-08-09 16:00:00,2026-08-09 23:24:00,2026-08-09 23:24:00,IN_TRANSIT,50,465.48
SHP-0125,ORD-0125,CAR-005,R-002,PAR-01,FRA-01,2026-08-28 19:00:00,2026-08-29 02:06:00,2026-08-29 02:06:00,IN_TRANSIT,50,568.9
SHP-0126,ORD-0126,CAR-002,R-004,PAR-01,MIL-01,2026-08-29 21:00:00,2026-08-30 00:48:00,2026-08-30 00:48:00,IN_TRANSIT,200,360.86
SHP-0127,ORD-0127,CAR-003,R-005,BRU-01,FRA-01,2026-08-16 22:00:00,2026-08-17 02:48:00,2026-08-17 02:48:00,IN_TRANSIT,25,318.25
SHP-0128,ORD-0128,CAR-004,R-004,BRU-01,PAR-01,2026-08-30 20:00:00,2026-08-30 23:48:00,2026-08-30 23:48:00,IN_TRANSIT,150,374.22
SHP-0129,ORD-0129,CAR-002,R-011,MAD-01,MIL-01,2026-08-29 18:00:00,2026-08-30 10:00:00,2026-08-30 10:00:00,IN_TRANSIT,10,1508.76
SHP-0130,ORD-0130,CAR-005,R-012,MAD-01,PAR-01,2026-08-15 06:00:00,2026-08-15 20:54:00,2026-08-15 20:54:00,IN_TRANSIT,100,1197.26
SHP-0131,ORD-0131,CAR-002,R-004,BRU-01,PAR-01,2026-08-06 18:00:00,2026-08-06 21:48:00,2026-08-06 21:48:00,IN_TRANSIT,150,360.86
SHP-0132,ORD-0132,CAR-006,R-005,BRU-01,FRA-01,2026-08-28 16:00:00,2026-08-28 20:48:00,2026-08-28 20:48:00,IN_TRANSIT,25,301.5
SHP-0133,ORD-0133,CAR-002,R-011,MAD-01,MIL-01,2026-08-18 22:00:00,2026-08-19 14:00:00,2026-08-19 14:00:00,IN_TRANSIT,25,1508.76
SHP-0134,ORD-0134,CAR-001,R-002,PAR-01,FRA-01,2026-08-18 07:00:00,2026-08-18 14:06:00,2026-08-18 14:06:00,IN_TRANSIT,25,519.44
SHP-0135,ORD-0135,CAR-002,R-007,FRA-01,PAR-01,2026-08-17 05:00:00,2026-08-17 12:06:00,2026-08-17 12:06:00,IN_TRANSIT,10,667.84
SHP-0136,ORD-0136,CAR-004,R-001,MIL-01,PAR-01,2026-08-06 20:00:00,2026-08-06 23:48:00,2026-08-06 23:48:00,IN_TRANSIT,25,374.22
SHP-0137,ORD-0137,CAR-006,R-012,MAD-01,PAR-01,2026-08-13 21:00:00,2026-08-14 11:54:00,2026-08-14 11:54:00,IN_TRANSIT,100,936.99
SHP-0138,ORD-0138,CAR-006,R-008,FRA-01,MIL-01,2026-08-25 02:00:00,2026-08-25 09:24:00,2026-08-25 09:24:00,IN_TRANSIT,50,465.48
SHP-0139,ORD-0139,CAR-005,R-001,MAD-01,BRU-01,2026-08-30 12:00:00,2026-08-30 15:48:00,2026-08-30 15:48:00,IN_TRANSIT,75,307.4
SHP-0140,ORD-0140,CAR-005,R-010,MIL-01,MAD-01,2026-08-24 18:00:00,2026-08-25 10:00:00,2026-08-25 10:00:00,IN_TRANSIT,150,1285.24
SHP-0141,ORD-0141,CAR-003,R-007,FRA-01,PAR-01,2026-08-15 19:00:00,2026-08-16 02:06:00,2026-08-16 02:06:00,IN_TRANSIT,25,469.96
SHP-0142,ORD-0142,CAR-003,R-012,MAD-01,PAR-01,2026-08-07 20:00:00,2026-08-08 10:54:00,2026-08-08 10:54:00,IN_TRANSIT,25,989.04
SHP-0143,ORD-0143,CAR-003,R-009,MIL-01,FRA-01,2026-08-29 11:00:00,2026-08-29 18:24:00,2026-08-29 18:24:00,IN_TRANSIT,50,491.34
SHP-0144,ORD-0144,CAR-004,R-004,BRU-01,PAR-01,2026-08-01 05:00:00,2026-08-01 08:48:00,2026-08-01 08:48:00,IN_TRANSIT,50,374.22
SHP-0145,ORD-0145,CAR-003,R-007,MAD-01,FRA-01,2026-08-27 19:00:00,2026-08-28 02:06:00,2026-08-28 02:06:00,IN_TRANSIT,10,469.96
SHP-0146,ORD-0146,CAR-001,R-003,PAR-01,MAD-01,2026-08-04 04:00:00,2026-08-04 18:54:00,2026-08-04 18:54:00,IN_TRANSIT,10,1093.16
SHP-0147,ORD-0147,CAR-002,R-012,FRA-01,MAD-01,2026-08-21 16:00:00,2026-08-22 06:54:00,2026-08-22 06:54:00,IN_TRANSIT,10,1405.48
SHP-0148,ORD-0148,CAR-002,R-011,MAD-01,MIL-01,2026-08-25 00:00:00,2026-08-25 16:00:00,2026-08-25 16:00:00,IN_TRANSIT,200,1508.76
SHP-0149,ORD-0149,CAR-002,R-008,BRU-01,MAD-01,2026-08-10 14:00:00,2026-08-10 21:24:00,2026-08-10 21:24:00,IN_TRANSIT,150,698.22
SHP-0150,ORD-0150,CAR-005,R-012,FRA-01,MAD-01,2026-08-19 20:00:00,2026-08-20 10:54:00,2026-08-20 10:54:00,IN_TRANSIT,100,1197.26
SHP-0151,ORD-0151,CAR-006,R-010,MIL-01,MAD-01,2026-08-23 04:00:00,2026-08-23 20:00:00,2026-08-23 20:00:00,IN_TRANSIT,10,1005.84
