order_id,sla_tolerance_hours,sla_penalty_per_hour_eur,priority
ORD-0062,4,200.0,PREMIUM
ORD-0063,12,75.0,STANDARD
ORD-0064,12,75.0,STANDARD
ORD-0065,4,200.0,PREMIUM
ORD-0066,12,75.0,STANDARD
ORD-0067,12,75.0,STANDARD
ORD-0068,12,75.0,STANDARD
ORD-0069,12,75.0,STANDARD
ORD-0070,12,75.0,STANDARD
ORD-0071,12,75.0,STANDARD
ORD-0072,12,75.0,STANDARD
ORD-0073,12,75.0,STANDARD
ORD-0074,12,75.0,STANDARD
ORD-0075,12,75.0,STANDARD
ORD-0076,12,75.0,STANDARD
ORD-0077,4,200.0,PREMIUM
ORD-0078,12,75.0,STANDARD
ORD-0079,12,75.0,STANDARD
ORD-0080,4,200.0,PREMIUM
ORD-0081,12,75.0,STANDARD
ORD-0082,4,200.0,PREMIUM
ORD-0083,12,75.0,STANDARD
ORD-0084,4,200.0,PREMIUM
ORD-0085,4,200.0,PREMIUM
ORD-0086,12,75.0,STANDARD
ORD-0087,12,75.0,STANDARD
ORD-0088,12,75.0,STANDARD
ORD-0089,4,200.0,PREMIUM
ORD-0090,12,75.0,STANDARD
ORD-0091,4,200.0,PREMIUM
ORD-0092,12,75.0,STANDARD
ORD-0093,2,250.0,CRITICAL
ORD-0094,12,75.0,STANDARD
ORD-0095,12,75.0,STANDARD
ORD-0096,12,75.0,STANDARD
ORD-0097,12,75.0,STANDARD
ORD-0098,12,75.0,STANDARD
ORD-0099,12,75.0,STANDARD
ORD-0100,12,75.0,STANDARD
ORD-0101,12,75.0,STANDARD
ORD-0102,12,75.0,STANDARD
ORD-0103,12,75.0,STANDARD
ORD-0104,2,250.0,CRITICAL
ORD-0105,12,75.0,STANDARD
ORD-0106,12,75.0,STANDARD
ORD-0107,4,200.0,PREMIUM
ORD-0108,12,75.0,STANDARD
ORD-0109,12,75.0,STANDARD
ORD-0110,4,200.0,PREMIUM
ORD-0111,12,75.0,STANDARD
ORD-0112,12,75.0,STANDARD
ORD-0113,12,75.0,STANDARD
ORD-0114,4,200.0,PREMIUM
ORD-0115,4,200.0,PREMIUM
ORD-0116,12,75.0,STANDARD
ORD-0117,4,200.0,PREMIUM
ORD-0118,12,75.0,STANDARD
ORD-0119,4,200.0,PREMIUM
ORD-0120,12,75.0,STANDARD
ORD-0121,12,75.0,STANDARD
ORD-0122,12,75.0,STANDARD
ORD-0123,12,75.0,STANDARD
ORD-0124,12,75.0,STANDARD
ORD-0125,12,75.0,STANDARD
ORD-0126,4,200.0,PREMIUM
ORD-0127,12,75.0,STANDARD
ORD-0128,4,200.0,PREMIUM
ORD-0129,12,75.0,STANDARD
ORD-0130,4,200.0,PREMIUM
ORD-0131,12,75.0,STANDARD
ORD-0132,12,75.0,STANDARD
ORD-0133,2,250.0,CRITICAL
ORD-0134,12,75.0,STANDARD
ORD-0135,12,75.0,STANDARD
ORD-0136,12,75.0,STANDARD
ORD-0137,12,75.0,STANDARD
ORD-0138,12,75.0,STANDARD
ORD-0139,4,200.0,PREMIUM
ORD-0140,12,75.0,STANDARD
ORD-0141,12,75.0,STANDARD
ORD-0142,12,75.0,STANDARD
ORD-0143,12,75.0,STANDARD
ORD-0144,12,75.0,STANDARD
ORD-0145,12,75.0,STANDARD
ORD-0146,12,75.0,STANDARD
ORD-0147,12,75.0,STANDARD
ORD-0148,12,75.0,STANDARD
ORD-0149,12,75.0,STANDARD
ORD-0150,12,75.0,STANDARD
ORD-0151,12,75.0,STANDARD
ORD-0152,12,75.0,STANDARD
ORD-0153,12,75.0,STANDARD
ORD-0154,4,200.0,PREMIUM
ORD-0155,12,75.0,STANDARD
ORD-0156,4,200.0,PREMIUM
ORD-0157,4,200.0,PREMIUM
ORD-0158,12,75.0,STANDARD
ORD-0159,12,75.0,STANDARD
ORD-0160,12,75.0,STANDARD
ORD-0161,12,75.0,STANDARD
ORD-0162,12,75.0,STANDARD
ORD-0163,12,75.0,STANDARD
ORD-0164,12,75.0,STANDARD
ORD-0165,12,75.0,STANDARD
ORD-0166,12,75.0,STANDARD
ORD-0167,12,75.0,STANDARD
ORD-0168,12,75.0,STANDARD
ORD-0169,4,200.0,PREMIUM
ORD-0170,4,200.0,PREMIUM
ORD-0171,4,200.0,PREMIUM
ORD-0172,12,75.0,STANDARD
ORD-0173,12,75.0,STANDARD
ORD-0174,12,75.0,STANDARD
ORD-0175,12,75.0,STANDARD
ORD-0176,12,75.0,STANDARD
ORD-0177,12,75.0,STANDARD
ORD-0178,12,75.0,STANDARD
ORD-0179,4,200.0,PREMIUM
ORD-0180,12,75.0,STANDARD
ORD-0181,4,200.0,PREMIUM
ORD-0182,2,250.0,CRITICAL
ORD-0183,12,75.0,STANDARD
ORD-0184,12,75.0,STANDARD
ORD-0185,4,200.0,PREMIUM
ORD-0186,12,75.0,STANDARD
ORD-0187,12,75.0,STANDARD
ORD-0188,4,200.0,PREMIUM
ORD-0189,12,75.0,STANDARD
ORD-0190,12,75.0,STANDARD
ORD-0191,12,75.0,STANDARD
ORD-0192,12,75.0,STANDARD
ORD-0193,4,200.0,PREMIUM
ORD-0194,12,75.0,STANDARD
ORD-0195,12,75.0,STANDARD
ORD-0196,4,200.0,PREMIUM
ORD-0197,2,250.0,CRITICAL
ORD-0198,12,75.0,STANDARD
ORD-0199,12,75.0,STANDARD
ORD-0200,12,75.0,STANDARD
ORD-0201,12,75.0,STANDARD
ORD-0202,12,75.0,STANDARD
ORD-0203,12,75.0,STANDARD
ORD-0204,2,250.0,CRITICAL
ORD-0205,12,75.0,STANDARD
ORD-0206,12,75.0,STANDARD
ORD-0207,2,250.0,CRITICAL
ORD-0208,12,75.0,STANDARD
ORD-0209,12,75.0,STANDARD
ORD-0210,12,75.0,STANDARD
ORD-0211,12,75.0,STANDARD
ORD-0212,12,75.0,STANDARD
ORD-0213,12,75.0,STANDARD
ORD-0214,4,200.0,PREMIUM
ORD-0215,4,200.0,PREMIUM
ORD-0216,4,200.0,PREMIUM
ORD-0217,12,75.0,STANDARD
ORD-0218,12,75.0,STANDARD
ORD-0219,12,75.0,STANDARD
ORD-0220,4,200.0,PREMIUM
ORD-0221,12,75.0,STANDARD
ORD-0222,4,200.0,PREMIUM
ORD-0223,12,75.0,STANDARD
ORD-0224,12,75.0,STANDARD
ORD-0225,4,200.0,PREMIUM
ORD-0226,12,75.0,STANDARD
ORD-0227,4,200.0,PREMIUM
ORD-0228,12,75.0,STANDARD
ORD-0229,12,75.0,STANDARD
ORD-0230,4,200.0,PREMIUM
ORD-0231,12,75.0,STANDARD
ORD-0232,12,75.0,STANDARD
ORD-0233,12,75.0,STANDARD
ORD-0234,12,75.0,STANDARD
ORD-0235,12,75.0,STANDARD
ORD-0236,12,75.0,STANDARD
ORD-0237,2,250.0,CRITICAL
ORD-0238,12,75.0,STANDARD
ORD-0239,4,200.0,PREMIUM
ORD-0240,12,75.0,STANDARD
ORD-0241,12,75.0,STANDARD
ORD-0242,12,75.0,STANDARD
ORD-0243,12,75.0,STANDARD
ORD-0244,2,250.0,CRITICAL
ORD-0245,12,75.0,STANDARD
ORD-0246,12,75.0,STANDARD
ORD-0247,12,75.0,STANDARD
ORD-0248,12,75.0,STANDARD
ORD-0249,2,250.0,CRITICAL
ORD-0250,12,75.0,STANDARD
ORD-0251,12,75.0,STANDARD
ORD-0252,12,75.0,STANDARD
ORD-0253,12,75.0,STANDARD
ORD-0254,12,75.0,STANDARD
ORD-0255,12,75.0,STANDARD
ORD-0256,12,75.0,STANDARD
ORD-0257,12,75.0,STANDARD
ORD-0258,12,75.0,STANDARD
ORD-0259,12,75.0,STANDARD
ORD-0260,4,200.0,PREMIUM
ORD-0261,4,200.0,PREMIUM
ORD-0262,12,75.0,STANDARD
ORD-0263,12,75.0,STANDARD
ORD-0264,12,75.0,STANDARD
ORD-0265,12,75.0,STANDARD
ORD-0266,12,75.0,STANDARD
ORD-0267,12,75.0,STANDARD
ORD-0268,12,75.0,STANDARD
ORD-0269,12,75.0,STANDARD
ORD-0270,4,200.0,PREMIUM
ORD-0271,12,75.0,STANDARD
ORD-0272,12,75.0,STANDARD
ORD-0273,12,75.0,STANDARD
ORD-0274,12,75.0,STANDARD
ORD-0275,12,75.0,STANDARD
ORD-0276,12,75.0,STANDARD
ORD-0277,12,75.0,STANDARD
ORD-0278,12,75.0,STANDARD
ORD-0279,4,200.0,PREMIUM
ORD-0280,12,75.0,STANDARD
ORD-0281,4,200.0,PREMIUM
ORD-0282,2,250.0,CRITICAL
ORD-0283,2,250.0,CRITICAL
ORD-0284,12,75.0,STANDARD
ORD-0285,12,75.0,STANDARD
ORD-0286,2,250.0,CRITICAL
ORD-0287,12,75.0,STANDARD
ORD-0288,12,75.0,STANDARD
ORD-0289,12,75.0,STANDARD
ORD-0290,12,75.0,STANDARD
ORD-0291,12,75.0,STANDARD
ORD-0292,12,75.0,STANDARD
ORD-0293,12,75.0,STANDARD
ORD-0294,12,75.0,STANDARD
ORD-0295,12,75.0,STANDARD
ORD-0296,12,75.0,STANDARD
ORD-0297,12,75.0,STANDARD
ORD-0298,12,75.0,STANDARD
ORD-0299,4,200.0,PREMIUM
ORD-0300,12,75.0,STANDARD
ORD-0301,4,200.0,PREMIUM
ORD-0302,12,75.0,STANDARD
ORD-0303,12,75.0,STANDARD
ORD-0304,12,75.0,STANDARD
ORD-0305,12,75.0,STANDARD
ORD-0306,12,75.0,STANDARD
ORD-0307,12,75.0,STANDARD
ORD-0308,2,250.0,CRITICAL
ORD-0309,2,250.0,CRITICAL
ORD-0310,4,200.0,PREMIUM
ORD-0311,12,75.0,STANDARD
ORD-0312,12,75.0,STANDARD
ORD-0313,12,75.0,STANDARD
ORD-0314,12,75.0,STANDARD
ORD-0315,12,75.0,STANDARD
ORD-0316,2,250.0,CRITICAL
ORD-0317,12,75.0,STANDARD
ORD-0318,12,75.0,STANDARD
ORD-0319,12,75.0,STANDARD
ORD-0320,2,250.0,CRITICAL
ORD-0321,12,75.0,STANDARD
ORD-0322,12,75.0,STANDARD
ORD-0323,4,200.0,PREMIUM
ORD-0324,12,75.0,STANDARD
ORD-0325,12,75.0,STANDARD
ORD-0326,12,75.0,STANDARD
ORD-0327,2,250.0,CRITICAL
ORD-0328,12,75.0,STANDARD
ORD-0329,4,200.0,PREMIUM
ORD-0330,12,75.0,STANDARD
ORD-0331,12,75.0,STANDARD
ORD-0332,12,75.0,STANDARD
ORD-0333,4,200.0,PREMIUM
ORD-0334,12,75.0,STANDARD
ORD-0335,4,200.0,PREMIUM
ORD-0336,12,75.0,STANDARD
ORD-0337,12,75.0,STANDARD
ORD-0338,12,75.0,STANDARD
ORD-0339,12,75.0,STANDARD
ORD-0340,12,75.0,STANDARD
ORD-0341,2,250.0,CRITICAL
ORD-0342,12,75.0,STANDARD
ORD-0343,12,75.0,STANDARD
ORD-0344,12,75.0,STANDARD
ORD-0345,12,75.0,STANDARD
ORD-0346,12,75.0,STANDARD
ORD-0347,2,250.0,CRITICAL
ORD-0348,12,75.0,STANDARD
ORD-0349,12,75.0,STANDARD
ORD-0350,4,200.0,PREMIUM
ORD-0351,4,200.0,PREMIUM
ORD-0352,12,75.0,STANDARD
ORD-0353,12,75.0,STANDARD
ORD-0354,4,200.0,PREMIUM
ORD-0355,4,200.0,PREMIUM
ORD-0356,12,75.0,STANDARD
ORD-0357,12,75.0,STANDARD
ORD-0358,12,75.0,STANDARD
ORD-0359,12,75.0,STANDARD
ORD-0360,12,75.0,STANDARD
ORD-0361,12,75.0,STANDARD
ORD-0362,12,75.0,STANDARD
ORD-0363,12,75.0,STANDARD
ORD-0364,12,75.0,STANDARD
ORD-0365,2,250.0,CRITICAL
ORD-0366,12,75.0,STANDARD
ORD-0367,12,75.0,STANDARD
ORD-0368,12,75.0,STANDARD
ORD-0369,12,75.0,STANDARD
ORD-0370,12,75.0,STANDARD
ORD-0371,4,200.0,PREMIUM
ORD-0372,12,75.0,STANDARD
ORD-0373,4,200.0,PREMIUM
ORD-0374,12,75.0,STANDARD
ORD-0375,2,250.0,CRITICAL
ORD-0376,12,75.0,STANDARD
ORD-0377,4,200.0,PREMIUM
ORD-0378,12,75.0,STANDARD
ORD-0379,4,200.0,PREMIUM
ORD-0380,4,200.0,PREMIUM
ORD-0381,12,75.0,STANDARD
ORD-0382,12,75.0,STANDARD
ORD-0383,12,75.0,STANDARD
ORD-0384,12,75.0,STANDARD
ORD-0385,12,75.0,STANDARD
ORD-0386,12,75.0,STANDARD
ORD-0387,12,75.0,STANDARD
ORD-0388,4,200.0,PREMIUM
ORD-0389,2,250.0,CRITICAL
ORD-0390,12,75.0,STANDARD
ORD-0391,12,75.0,STANDARD
ORD-0392,12,75.0,STANDARD
ORD-0393,12,75.0,STANDARD
ORD-0394,12,75.0,STANDARD
ORD-0395,12,75.0,STANDARD
ORD-0396,12,75.0,STANDARD
ORD-0397,12,75.0,STANDARD
ORD-0398,12,75.0,STANDARD
ORD-0399,4,200.0,PREMIUM
ORD-0400,12,75.0,STANDARD
ORD-0401,12,75.0,STANDARD
ORD-0402,12,75.0,STANDARD
ORD-0403,12,75.0,STANDARD
ORD-0404,2,250.0,CRITICAL
ORD-0405,12,75.0,STANDARD
ORD-0406,12,75.0,STANDARD
ORD-0407,12,75.0,STANDARD
ORD-0408,12,75.0,STANDARD
ORD-0409,12,75.0,STANDARD
ORD-0410,12,75.0,STANDARD
ORD-0411,12,75.0,STANDARD
ORD-0412,2,250.0,CRITICAL
ORD-0413,12,75.0,STANDARD
ORD-0414,4,200.0,PREMIUM
ORD-0415,12,75.0,STANDARD
ORD-0416,4,200.0,PREMIUM
ORD-0417,12,75.0,STANDARD
ORD-0418,12,75.0,STANDARD
ORD-0419,4,200.0,PREMIUM
ORD-0420,4,200.0,PREMIUM
ORD-0421,12,75.0,STANDARD
ORD-0422,12,75.0,STANDARD
ORD-0423,12,75.0,STANDARD
ORD-0424,12,75.0,STANDARD
ORD-0425,12,75.0,STANDARD
ORD-0426,12,75.0,STANDARD
ORD-0427,4,200.0,PREMIUM
ORD-0428,12,75.0,STANDARD
ORD-0429,12,75.0,STANDARD
ORD-0430,12,75.0,STANDARD
ORD-0431,4,200.0,PREMIUM
ORD-0432,12,75.0,STANDARD
ORD-0433,4,200.0,PREMIUM
ORD-0434,2,250.0,CRITICAL
ORD-0435,12,75.0,STANDARD
ORD-0436,12,75.0,STANDARD
ORD-0437,4,200.0,PREMIUM
ORD-0438,12,75.0,STANDARD
ORD-0439,2,250.0,CRITICAL
ORD-0440,12,75.0,STANDARD
ORD-0441,2,250.0,CRITICAL
ORD-0442,12,75.0,STANDARD
ORD-0443,12,75.0,STANDARD
ORD-0444,4,200.0,PREMIUM
ORD-0445,12,75.0,STANDARD
ORD-0446,12,75.0,STANDARD
ORD-0447,12,75.0,STANDARD
ORD-0448,12,75.0,STANDARD
ORD-0449,12,75.0,STANDARD
ORD-0450,4,200.0,PREMIUM
ORD-0451,12,75.0,STANDARD
ORD-0452,2,250.0,CRITICAL
ORD-0453,12,75.0,STANDARD
ORD-0454,4,200.0,PREMIUM
ORD-0455,12,75.0,STANDARD
ORD-0456,12,75.0,STANDARD
ORD-0457,2,250.0,CRITICAL
ORD-0458,2,250.0,CRITICAL
ORD-0459,4,200.0,PREMIUM
ORD-0460,12,75.0,STANDARD
ORD-0461,12,75.0,STANDARD
ORD-0462,4,200.0,PREMIUM
ORD-0463,12,75.0,STANDARD
ORD-0464,4,200.0,PREMIUM
ORD-0465,4,200.0,PREMIUM
ORD-0466,12,75.0,STANDARD
ORD-0467,12,75.0,STANDARD
ORD-0468,12,75.0,STANDARD
ORD-0469,12,75.0,STANDARD
ORD-0470,4,200.0,PREMIUM
ORD-0471,4,200.0,PREMIUM
ORD-0472,12,75.0,STANDARD
ORD-0473,4,200.0,PREMIUM
ORD-0474,12,75.0,STANDARD
ORD-0475,12,75.0,STANDARD
ORD-0476,4,200.0,PREMIUM
ORD-0477,12,75.0,STANDARD
ORD-0478,2,250.0,CRITICAL
ORD-0479,2,250.0,CRITICAL
ORD-0480,12,75.0,STANDARD
ORD-0481,4,200.0,PREMIUM
ORD-0482,4,200.0,PREMIUM
ORD-0483,12,75.0,STANDARD
ORD-0484,12,75.0,STANDARD
ORD-0485,12,75.0,STANDARD
ORD-0486,12,75.0,STANDARD
ORD-0487,12,75.0,STANDARD
ORD-0488,12,75.0,STANDARD
ORD-0489,2,250.0,CRITICAL
ORD-0490,12,75.0,STANDARD
ORD-0491,12,75.0,STANDARD
ORD-0492,12,75.0,STANDARD
ORD-0493,12,75.0,STANDARD
ORD-0494,12,75.0,STANDARD
ORD-0495,12,75.0,STANDARD
ORD-0496,4,200.0,PREMIUM
ORD-0497,12,75.0,STANDARD
ORD-0498,12,75.0,STANDARD
ORD-0499,12,75.0,STANDARD
ORD-0500,12,75.0,STANDARD
ORD-0501,4,200.0,PREMIUM
ORD-0502,12,75.0,STANDARD
ORD-0503,2,250.0,CRITICAL
ORD-0504,12,75.0,STANDARD
ORD-0505,12,75.0,STANDARD
ORD-0506,12,75.0,STANDARD
ORD-0507,4,200.0,PREMIUM
ORD-0508,12,75.0,STANDARD
ORD-0509,12,75.0,STANDARD
ORD-0510,12,75.0,STANDARD
ORD-0511,12,75.0,STANDARD
ORD-0512,4,200.0,PREMIUM
ORD-0513,12,75.0,STANDARD
ORD-0514,12,75.0,STANDARD
ORD-0515,12,75.0,STANDARD
ORD-0516,4,200.0,PREMIUM
ORD-0517,12,75.0,STANDARD
ORD-0518,2,250.0,CRITICAL
ORD-0519,12,75.0,STANDARD
ORD-0520,12,75.0,STANDARD
ORD-0521,12,75.0,STANDARD
ORD-0522,12,75.0,STANDARD
ORD-0523,12,75.0,STANDARD
ORD-0524,12,75.0,STANDARD
ORD-0525,2,250.0,CRITICAL
ORD-0526,12,75.0,STANDARD
ORD-0527,12,75.0,STANDARD
ORD-0528,12,75.0,STANDARD
ORD-0529,12,75.0,STANDARD
ORD-0530,12,75.0,STANDARD
ORD-0531,12,75.0,STANDARD
ORD-0532,12,75.0,STANDARD
ORD-0533,12,75.0,STANDARD
ORD-0534,12,75.0,STANDARD
ORD-0535,12,75.0,STANDARD
ORD-0536,12,75.0,STANDARD
ORD-0537,12,75.0,STANDARD
ORD-0538,12,75.0,STANDARD
ORD-0539,2,250.0,CRITICAL
ORD-0540,12,75.0,STANDARD
ORD-0541,4,200.0,PREMIUM
ORD-0542,12,75.0,STANDARD
ORD-0543,12,75.0,STANDARD
ORD-0544,12,75.0,STANDARD
ORD-0545,12,75.0,STANDARD
ORD-0546,12,75.0,STANDARD
ORD-0547,12,75.0,STANDARD
ORD-0548,12,75.0,STANDARD
ORD-0549,4,200.0,PREMIUM
ORD-0550,12,75.0,STANDARD
ORD-0551,12,75.0,STANDARD
ORD-0552,12,75.0,STANDARD
ORD-0553,12,75.0,STANDARD
ORD-0554,12,75.0,STANDARD
ORD-0555,2,250.0,CRITICAL
ORD-0556,12,75.0,STANDARD
ORD-0557,12,75.0,STANDARD
ORD-0558,12,75.0,STANDARD
ORD-0559,12,75.0,STANDARD
ORD-0560,12,75.0,STANDARD
ORD-0561,12,75.0,STANDARD
ORD-0562,2,250.0,CRITICAL
ORD-0563,12,75.0,STANDARD
ORD-0564,2,250.0,CRITICAL
ORD-0565,4,200.0,PREMIUM
ORD-0566,12,75.0,STANDARD
ORD-0567,12,75.0,STANDARD
ORD-0568,12,75.0,STANDARD
ORD-0569,12,75.0,STANDARD
ORD-0570,12,75.0,STANDARD
ORD-0571,12,75.0,STANDARD
ORD-0572,4,200.0,PREMIUM
ORD-0573,12,75.0,STANDARD
ORD-0574,12,75.0,STANDARD
ORD-0575,12,75.0,STANDARD
ORD-0576,12,75.0,STANDARD
ORD-0577,12,75.0,STANDARD
ORD-0578,12,75.0,STANDARD
ORD-0579,12,75.0,STANDARD
ORD-0580,12,75.0,STANDARD
ORD-0581,12,75.0,STANDARD
ORD-0582,12,75.0,STANDARD
ORD-0583,12,75.0,STANDARD
ORD-0584,4,200.0,PREMIUM
ORD-0585,12,75.0,STANDARD
ORD-0586,12,75.0,STANDARD
ORD-0587,12,75.0,STANDARD
ORD-0588,12,75.0,STANDARD
ORD-0589,2,250.0,CRITICAL
ORD-0590,2,250.0,CRITICAL
ORD-0591,2,250.0,CRITICAL
ORD-0592,12,75.0,STANDARD
ORD-0593,2,250.0,CRITICAL
ORD-0594,12,75.0,STANDARD
ORD-0595,12,75.0,STANDARD
ORD-0596,12,75.0,STANDARD
ORD-0597,2,250.0,CRITICAL
ORD-0598,4,200.0,PREMIUM
ORD-0599,12,75.0,STANDARD
ORD-0600,12,75.0,STANDARD
ORD-0601,4,200.0,PREMIUM
ORD-0602,4,200.0,PREMIUM
ORD-0603,12,75.0,STANDARD
ORD-0604,12,75.0,STANDARD
ORD-0605,12,75.0,STANDARD
ORD-0606,2,250.0,CRITICAL
ORD-0607,4,200.0,PREMIUM
ORD-0608,4,200.0,PREMIUM
ORD-0609,4,200.0,PREMIUM
ORD-0610,12,75.0,STANDARD
ORD-0611,12,75.0,STANDARD
ORD-0612,12,75.0,STANDARD
ORD-0613,12,75.0,STANDARD
ORD-0614,2,250.0,CRITICAL
ORD-0615,12,75.0,STANDARD
ORD-0616,2,250.0,CRITICAL
ORD-0617,12,75.0,STANDARD
ORD-0618,12,75.0,STANDARD
ORD-0619,12,75.0,STANDARD
ORD-0620,12,75.0,STANDARD
ORD-0621,12,75.0,STANDARD
ORD-0622,12,75.0,STANDARD
ORD-0623,4,200.0,PREMIUM
ORD-0624,12,75.0,STANDARD
ORD-0625,12,75.0,STANDARD
ORD-0626,12,75.0,STANDARD
ORD-0627,12,75.0,STANDARD
ORD-0628,12,75.0,STANDARD
ORD-0629,12,75.0,STANDARD
ORD-0630,12,75.0,STANDARD
ORD-0631,4,200.0,PREMIUM
ORD-0632,12,75.0,STANDARD
ORD-0633,12,75.0,STANDARD
ORD-0634,12,75.0,STANDARD
ORD-0635,12,75.0,STANDARD
ORD-0636,12,75.0,STANDARD
ORD-0637,12,75.0,STANDARD
ORD-0638,12,75.0,STANDARD
ORD-0639,4,200.0,PREMIUM
ORD-0640,2,250.0,CRITICAL
ORD-0641,12,75.0,STANDARD
ORD-0642,2,250.0,CRITICAL
ORD-0643,12,75.0,STANDARD
ORD-0644,4,200.0,PREMIUM
ORD-0645,2,250.0,CRITICAL
ORD-0646,4,200.0,PREMIUM
ORD-0647,12,75.0,STANDARD
ORD-0648,12,75.0,STANDARD
ORD-0649,12,75.0,STANDARD
ORD-0650,12,75.0,STANDARD
ORD-0651,12,75.0,STANDARD
ORD-0652,2,250.0,CRITICAL
ORD-0653,12,75.0,STANDARD
ORD-0654,4,200.0,PREMIUM
ORD-0655,12,75.0,STANDARD
ORD-0656,12,75.0,STANDARD
ORD-0657,12,75.0,STANDARD
ORD-0658,4,200.0,PREMIUM
ORD-0659,12,75.0,STANDARD
ORD-0660,4,200.0,PREMIUM
ORD-0661,12,75.0,STANDARD
ORD-0662,12,75.0,STANDARD
ORD-0663,2,250.0,CRITICAL
ORD-0664,12,75.0,STANDARD
ORD-0665,4,200.0,PREMIUM
ORD-0666,12,75.0,STANDARD
ORD-0667,2,250.0,CRITICAL
ORD-0668,12,75.0,STANDARD
ORD-0669,2,250.0,CRITICAL
ORD-0670,4,200.0,PREMIUM
ORD-0671,4,200.0,PREMIUM
ORD-0672,12,75.0,STANDARD
ORD-0673,12,75.0,STANDARD
ORD-0674,4,200.0,PREMIUM
ORD-0675,12,75.0,STANDARD
ORD-0676,4,200.0,PREMIUM
ORD-0677,12,75.0,STANDARD
ORD-0678,12,75.0,STANDARD
ORD-0679,12,75.0,STANDARD
ORD-0680,12,75.0,STANDARD
ORD-0681,4,200.0,PREMIUM
ORD-0682,12,75.0,STANDARD
ORD-0683,12,75.0,STANDARD
ORD-0684,4,200.0,PREMIUM
ORD-0685,12,75.0,STANDARD
ORD-0686,12,75.0,STANDARD
ORD-0687,12,75.0,STANDARD
ORD-0688,12,75.0,STANDARD
ORD-0689,2,250.0,CRITICAL
ORD-0690,12,75.0,STANDARD
ORD-0691,12,75.0,STANDARD
ORD-0692,12,75.0,STANDARD
ORD-0693,2,250.0,CRITICAL
ORD-0694,12,75.0,STANDARD
ORD-0695,12,75.0,STANDARD
ORD-0696,12,75.0,STANDARD
ORD-0697,12,75.0,STANDARD
ORD-0698,12,75.0,STANDARD
ORD-0699,12,75.0,STANDARD
ORD-0700,12,75.0,STANDARD
ORD-0701,4,200.0,PREMIUM
ORD-0702,4,200.0,PREMIUM
ORD-0703,12,75.0,STANDARD
ORD-0704,12,75.0,STANDARD
ORD-0705,12,75.0,STANDARD
ORD-0706,12,75.0,STANDARD
ORD-0707,12,75.0,STANDARD
ORD-0708,12,75.0,STANDARD
ORD-0709,12,75.0,STANDARD
ORD-0710,12,75.0,STANDARD
ORD-0711,2,250.0,CRITICAL
ORD-0712,4,200.0,PREMIUM
ORD-0713,4,200.0,PREMIUM
ORD-0714,12,75.0,STANDARD
ORD-0715,4,200.0,PREMIUM
ORD-0716,12,75.0,STANDARD
ORD-0717,12,75.0,STANDARD
ORD-0718,12,75.0,STANDARD
ORD-0719,2,250.0,CRITICAL
ORD-0720,12,75.0,STANDARD
ORD-0721,12,75.0,STANDARD
ORD-0722,4,200.0,PREMIUM
